,Comments,Emotion
62,jai jagan super,Positive
63,sir employees ki cps ni 7 rojullo raddu chesi ops implement chestanu annaru kani mata tapparu kanisam before election anna ops implement chesi employees vote bank ni geluchukondi,Negative
64,"that poor man's time is running out, don't worry, no one will vote except the unknown widows who will vote for him.",Negative
65,drip subsidy release,Positive
66,new manifesto,Positive
67,antai is your nephew's brother,Positive
68,avunu anna kgbv inter colleges lo telugu subject bodi che adhyapakulanu thisivesi ladies ki anyayaam chesthunnaru anni demos interviews face chesi 4 5 years experience tho kgbvs lo join ayithe life baguntundhi ani chesthunna udyogaalu maanesi join ayithe thelugu subject ne thisivesaru ladies ki akkadiki vella lo am cheyalo ardam kaka adusthu naru,Negative
69,"anna said in rajahmundry that you can talk to r once in the kitchen, even if you told him what you said about yourself.",Negative
70,very very very 420 you,Neutral
71,"bocka cm, you are a brat",Positive
72,you are coming,Positive
73,"namaste, is what you said true, but this is a special status, if 25 mps win, you said you will bring them with your necks bent, now you go to delhi and bend your necks.",Negative
74,"sir, why is there no one who chooses each side of the kingdom?",Positive
75,"you also cheated, jagan, you are feeling that you have done a good thing",Negative
77,yours is ours,Positive
78,nv are big cheats,Negative
79,chetha cm jagan,Negative
80,"a telangana auto driver caught in front of vijayawada rto without paying border tb and even after paying tb within five minutes he wrote a case of 10,000 and told us that he will leave us if we pay 4000 rupees. rto took bribe from that driver, i am not rto, government, government employees, tell me, is the salary not paid properly?",Negative
81,jai jagan anna,Negative
82,supper anna,Positive
83,"tdco will give you a house, but how can you change the colors and make it feel like a cabin is built?",Positive
84,tdp gave loans in govt and there are no loans in your govt,Negative
85,"but why should tdco give you a house? it is not a house built by a cabin, but a house built with quality, even if you give the land for a penny.",Positive
86,"no matter how many such meetings you hold, you will definitely lose in the next elections",Positive
87,let down,Negative
88,"jai jagan, the next cm is also mere jagan, increase all the prices and kill people",Positive
89,donga reedy like musk,Positive
90,sachivalya job travaba mari a job release chesaru sir 4 year job leka nirdyagalu antha badha padaturu job cheylana antother state antother district veli pani cheyala vastundi manchi praivite company petana alochuna kuda miku ledu botton nakadam tapa,Negative
91,why didn't you pay 1000 for songs like you don't cheat why didn't they work your name,Negative
92,rip ysrcp,Negative
93,that means you are from hell,Negative
94,luccha gadu kendram icche improvement nidulu kuda pathakalaku petti daniki thuglak perlu pettukoni janalanu gorrelu chestunte adhi paytm kukkalu muruguthunnayi 1st development and improvement ante thelisinte manolla adukkonevallu kadu velli pakka rashtralku ap rates compare cheyyandi nenu ycheep support chesinonne kani appudu tappu chesamu malla cheyyakandi ap ippudu 19th place lo undi arthikanga chala venakabadi unnamu dabbuki asha pokandi repu bavishyattu alochinchandi,Negative
95,nikon's trick is leru,Negative
96,jokes,Negative
97,why because you will be gone,Negative
98,"you married and gave away, nayana",Negative
99,where is the capital?,Negative
100,who made him cm erri pooka for me eachidu house in 2 cents you are a big thief to my mother you were born wrong.,Negative
101,visakhapatnam has to happen,Negative
102,"because of chandrababu, telangana state was formed and andhra pradesh state was destroyed. all the property of andhra pradesh state is alanjakodu (chandrababu) in telangana. if tdp wins again, everything will go to rayalaseema.",Negative
103,please vote yapudu with anna,Negative
104,ok,Positive
107,goddline codekatheine nanmntham,Negative
108,"don't shut up, scams are scams",Negative
109,"orei picche jagan, you are the one who gives the government places, tell me what you have done, don't bribe us.",Negative
110,donkey smiling gulab jamun,Negative
111,"if you don't say something like that, it would be a little better, please",Positive
112,jai tdp party next cm of chandrababu naidu,Positive
113,the capital is mendira gudiseti lanza kodaka,Positive
114,good bye jagan bye bye jagan,Positive
115,tdp means no rainfall in the state all farmers will starve,Negative
116,"what is the administration of amaravati farmers who cut their throats and distribute free railways to the poor? reminding that the farmers had to bear the losses due to the loss of the farmers and more importantly, the development of this state was destroyed and the unemployed had to suffer the losses due to lack of employment opportunities.",Negative
117,they say that they should not believe you alone,Negative
118,hee sir,Positive
119,you gave bochoo inti patta 2year's back 10000rs i paid no direction till now 420,Negative
120,and what did you do? you took away the rice canteen where the elders eat rice and beat the stomachs of the poor,Positive
121,anna nuvve asthau anna 24 nuvve cm ma 15 otlu ne ke jai jagananna,Negative
123,bocca m is not payment batch mothome comments,Negative
124,"jagan ji, don't be fooled that our women are the leaders of the world class and volunteers are the reason for our defeat.",Positive
126,"first, don't scold yourself, but let people know what you want",Positive
127,saray ayana mosam chaysaru meru am chaysaru manchi chaysara mundu meru ydo manifesto release chaysaru kada danlo special status testa annaru nps tesaystam annaru yakkada avi matalu chpatam kaadu chaysi chupi,Negative
128,mana rajadani yedi jagan,Negative
129,"we remember the lies you told, leech",Positive
130,couple,Positive
131,"sir, there is no fraud like you in mega disk investment in history",Positive
132,"if i believe in you this time, i have to get rid of my stupidity, babu, why?",Negative
134,jai jegan aap legend kam,Positive
135,"jai jegam said that the man who has a face does not listen to the words of the cabin, he knows the sock fox",Negative
136,"there are no cc roads in the villages, there is no fresh water, people of alluri sitarama rajupaderu district are facing a lot of trouble, cm.",Negative
137,"vundhosukani jagan, who is in jai, cannot be in the government, he is a big fraud",Negative
138,what did you do?,Positive
139,you said correctly about jagan babu,Positive
140,"if a volunteer came to my wife, she did not come",Negative
141,you give to everyone,Positive
142,meeru evvaledhuga sir house,Positive
143,ma jaganana's ma votu meke,Positive
144,you are a big thief,Negative
145,there is no tdp party in up,Neutral
146,super jijgn,Positive
147,i can trust ravana but i don't trust you jaganmohan reddy,Neutral
148,"alu, no eyes, no eyes, did you not give the son's name as somalingam?",Negative
149,how did you get all the properties jagan? why do poor people stay poor??,Negative
151,ji jagan,Negative
152,good dialogue sir,Positive
153,"think about the capital of amaravati, you will come again and those who are scolding you will cheer you up",Positive
154,the cabin can't be done for years.,Neutral
155,"it is true that you have released the manifesto as you said, 40 years of experience has made it necessary to learn from you, unfortunately chandrababu",Positive
156,nuvvu cheater ra,Negative
157,"how many houses have you built, you bastard",Positive
159,my vote for ycp jagan fixed,Negative
160,next cm jagan sir2024,Positive
161,"due to your ardam bardam knowledge, the party leaders have left the workers in the air and this time there are chances that you will be sent home.",Negative
162,super cm,Positive
163,you have to come again and again jagan anna,Positive
164,420 tdp,Positive
165,jai jai jagan,Neutral
167,"brother naku house patta vachindi but house <a href=""http://kattukokoledu money/"">kattukokoledu money</a> problem but ipudu house govt kattistundi anrunaru 18000 to idi nijama",Negative
168,"babu should come, the poor should go to other states, this is the slogan",Negative
170,420 babu mosagadu,Positive
171,jai jagan's brother,Positive
172,stop it sir,Negative
173,ysr fake government,Negative
174,jalaganna no one will believe me,Negative
175,babu ne sode apu ne sode a dannam ra to you ne centu,Negative
176,what have you done raw waste cm in up spl status no take money and press the button from the central and you swallow the rest of the money,Negative
178,jai jagan jai yasar,Positive
179,anna mundhe jewed woi anna i anyanam chhaiku anna certificates klug undaye ana mosapu jaganna,Negative
180,jai telugu country,Positive
181,big 420 cbn,Positive
182,"before the disk notification, we will lose without any sweeties",Negative
183,"unfortunately, your father is good",Positive
184,bye bye gagan close,Positive
186,"if someone came and destroyed the state, if you think alternate better, then he will also go in the same suit, no one can see this state anymore.",Negative
187,"if the manifesto of welfare schemes is made, tdp will be grounded",Positive
188,good bye jagan anna,Positive
189,ysr,Positive
190,do you have shakhishi paper?,Negative
191,you did not cheat sir,Positive
192,you are a yard thief,Negative
193,chameleon has changed colors vennupotu babu false promises al free babu jai jagan jai essar jai ysrcp,Negative
194,jai jagan sir,Positive
195,bye bye jagan,Positive
196,appara pooka erri pookula sollu you say,Negative
197,"if you were not up then, you gave lands and gave loans to scs",Negative
198,andharu kottukondi evaru vachina ee rastraniki origedi em ledhu atleast aayana votes konukkodanki dabbulu vesi divala teyaledhu 10 years venakki vellindi state nee valla millalni elagayya nammedi employees ki salary iche paristiti kuda ledhu ekkada appu chesi votes konukkodame pani,Negative
200,ekanga elle kattadu nee swartam kosam vatini allott cheyaledu last ten months lo smasnam lo okka cent iste neeru drainege rodlu vudyoga sauaryalu yekkada drama lu apanna neekidi katti drama babai hatya nee patra meenanna kalamlo dochukunna fifty thousand crores yemaindi nee palace darilo pedala illlu kottesave dr sudakar lanti varini pitcollani chesave anantababu savanna door delivery iste yemchesavayya edi nee palana musali puli kata neeku saripotundi,Negative
201,"you shouldn't trust a cheater, jalaganna",Negative
202,"shame on you, you have shamelessly talked about people from all walks of life",Negative
203,you are ours alone,Positive
204,jai tdp,Positive
205,"if you are the cm this time, you will be fine",Positive
206,infatuated by apara,Negative
207,we don't want the government,Negative
208,special status? answer this one question or what happened to alcohol prohibition?,Negative
209,don't believe babu,Negative
210,this thief tv is a support for such theft,Positive
211,why did you increase the current bill of petrol diesel rates?? are you eating 2 per stomach?,Negative
212,we are asking sakshi if your mother is mogudi,Negative
213,jagan said that the old hosing bill was not passed,Negative
214,kamma paleru brokers should get rid of their poverty,Positive
215,chandra babu may copy the nava ratnalu and put in his manifesto with improved/modified version he will declare 1 5 cents in urban areas and 2 cents in rural areas to the poor and bpl people,Negative
216,jay saban,Positive
217,the pictures that do not look good must go,Positive
218,apara babu pour your blood,Positive
219,ys jagan mohan reddy is the beacon of hope for the poor people,Positive
220,"ntr is a victim of chandrababu's conspiracy, ramoji rao radhakrishna cooperates with brn",Positive
221,chandrababu skills development scam jd laxminarayan roll lokesh optical fiber grid scam esi scam purchase of telephone tampering tools case ed probe ongoing,Negative
222,chandrababu sivaramakrishna commission report threw it in the dustbin,Negative
223,5od evil eye garu see,Positive
224,looting and sharing is not enslavement,Negative
225,jai jagan,Positive
226,sanction house loans,Positive
227,mani fastu lu vastutin potuntai but people's cure chaisai mani fastu lu one & only vyssarcp navaratnam,Positive
228,anna clear the problem of five villages anna this problem in vizag anna anna you are the cm anna who worked on your call in covid,Positive
229,jai jagan jai sharmila jai ​​yasser,Positive
230,manifesto tdp 2024 every kamma gets 5 acres from his own constituency and every kamma student gets 5000 monthly,Negative
231,super jagan garu,Positive
232,"naam ki vash just their chasht girls who are the victims of rape, what can they do?",Negative
233,self container,Positive
234,dalit woman!!!!,Negative
235,"""shobhanagi reddy"" would have been home minister or deputy chief minister if she had been there. i am saying as a telangana person that the loss without her is irreplaceable. her service to ysrcp is priceless.",Negative
236,dalit word is illegal,Negative
237,jay mading,Negative
238,great idea cm garu,Positive
239,jai jagan mohan reddy anna super anna,Positive
240,he is against dalits as some of our us have govt jobs pensioners(but still no land no big house like ocs and bcs) he is cancelling everything but for ocs and bcs those who have 5-10 acres land 1000 to 1500sqft houses 200 to 500 grms of gold they are not considered as rich and are given rice cards arogya sri cards etc caste is not taken into consideration now what is this?god will surely punish all those who stand against poor native indians ie dalits,Negative
241,all actions those dalit leaders will not dare to speak against his decisions against dalits will be given power which is of no use,Negative
242,roja would have been a good minister,Positive
243,everyone says that roja is a senior and good talent than roja who also worked with vissar before her in sucharitha party.,Positive
244,some women are harassed by their aunts,Positive
245,roja made the mistake of getting the post,Negative
246,jagan has cheated the roja raks in the name of society.,Negative
247,"if we give seats like this to people we don't know, what will happen to roja who is known to everyone",Positive
248,why no proper post or respect akepati amarnatha reddy ?,Negative
249,brahmam gari kala gnanam lo cheppinattu anni keventunnai amaravathi capital kavochhu rajanna rajyam vasthundi mala madigalu mantrulavutaru bajagovinda govinda ani he told in his kala gnanam but this change should really bring excellence enno years ga sc st bc vallani lower profiles ani consider chesi society treating so bad though we got independence things in india not changed cm jagan garu ysr dad kante excellent decisions tesukuni ila start cheyatam we all r so happy for this keep going,Positive
250,jagan em chesado telidu em chestado telidu kani sc st ki kalpinchina political hoodanu next years marchipolemu thank you sir mee guts prajanayakudu ysr ni gurtuku testu kanneerupetistundi ayana athma ku shanti labinchi untadi eppudu,Negative
251,good decision sir keep going god bless you,Positive
252,is it christian? they did justice to the christian older sisters and the christian younger brothers.,Positive
253,it is bad that roja was not given home minister,Negative
254,we want roja & rk garu otherwise this is good decision,Positive
255,"did you cheat on roja's sister, down down cm?",Negative
256,where is roja & rk garu srkanth reddy ambati why not give ministry i am very disappointed,Negative
257,roja was wronged by stopping boxes on own tv,Negative
258,madda vesaadu roja aminddi ame kantte veellu em peekaru antha sc st bc avadamena veela qualification thu jagan gadu kuda andarilage waste politician inka vadiki vote vesedi ledu,Negative
259,roja hard work for your party and cm chair,Positive
260,bloody jagan what a hell is this roja wants to get home minister post some bitch lady is getting home minister post u will definitely pay off this jegan,Negative
261,roja ki minister post evali sir plus,Positive
262,roja garu ekada,Negative
263,where is roja,Negative
264,the real hero is our anna jagan,Positive
265,"as much as they cursed jagan, tdp also cursed roja even more than that, what is the benefit of avanti srinivas instead of giving her the sin.",Negative
266,he said that no one should feel bad that roja is not there and he will give the post of chairman of rtc,Negative
267,you are the son who surpasses the father,Positive
268,"it was very difficult to give it to roja, but it would have been better if it was given by the deputy cm",Positive
269,super chase anna,Positive
270,mekathoti sucharitha is a christian ofcourse hindu on paper to get sc certificate,Negative
271,roja garu is not a wrong step,Positive
272,gd,Positive
273,tell me on your dabba tv why injustice happened to elder sister roja,Negative
274,it would have been nice if rosa had done a lot for the party,Positive
275,super jagan sir u will be cm till 2044,Positive
276,good congrats cm jagan sir,Positive
277,hee sass super madam die,Positive
278,avunamma! you are 100 % talked perfectly anna garu mahilaa samaajaanni theeeerchi dhidhaaaaru but you too have a response ie jaganannanu sakramanga theeerchi dheeedhaaandi ladies played an importent role in collapsing great kingdoms every scheme on ladies implementing to collect votes of ap ladies,Positive
279,main switch bagga che pairon that is women j y s r,Positive
281,yes god bless ysr family amen,Positive
282,jagan,Neutral
283,sharmila reddy's sister was forgotten why if jagan is in jail ysp saved you sharmilamma why did they forget her,Negative
284,jai to ys vijayamma,Positive
285,amma talle ma kalley adhrmam talooka low eelante entate subhasheta upanneyasam evvaru ea magadi kane ea stree kane speech evvaledamma ede deaseyaneke garvakranamamma neeku naa seta kowtenamskara sunane vandanalu etlu meeveo kka srewobhe lashe mareu y s r kutumda sabbwedene bharat vase bhagavan dase fees reedeng maostar mahaboobpeeran gangavoram,Neutral
286,is there only one english speaking minister in the tdp government? all the ministers in this government are well educated,Positive
287,super madam,Positive
288,"oops! roja panchule panchule in plenary <a href=""https://www youtube com/watch?v=st4nbqo66yu"">https://www youtube com/watch?v=st4nbqo66yu</a>",Negative
289,super speech sister,Positive
290,super speech mem,Positive
291,who ne,Negative
292,johar yasser jai jagan anna jai ​​yasser cup next come pakka 2024,Positive
293,vote for jana sena,Positive
295,what did cha nee babu do? rayalaseema got water because of the cabin,Negative
297,veediki mind dobbesindi roi !!! chesindantha marchi poi mahanubhavudu ipoyyadu ! kalavulu thovvakundane commissions dobbina putra ratnam polavaram lo kummesina commissions dobbakunda chesi vunte 12years back polavaram ipoyyedi 6 months polavaram continue chesi vunte next year neellu vacchevi !! nee moham manda,Negative
298,sir tell us a little about sangamitra salary sir,Positive
299,this is not be good to change like that if u want build new and name that one,Negative
300,they want a lot of money to name babu's uncle,Neutral
301,who asked to change to ntr ? we shouldn’t keep individual names modi itself keeping pm yojana etc,Negative
302,hmmm good decision,Positive
303,"jagan said that if the hospital bill exceeds 1000 rupees, he will pay it to arogya sri, if it is implemented soon, everyone will get medical treatment in ysr's name. jai jagan",Negative
304,say new things,Positive
305,"why is it necessary to change the names, whoever started it should belong to them, but what is the reason for the development?",Neutral
306,call me cm jagan don't call jagan remember is the chief minister of andhra pradesh,Negative
307,ap ki perfect cm ga jagan anna we will with you jagan anna,Positive
308,"name changes are not important, people should get better treatment",Neutral
309,"what is new in changing the name, this party will favor those who came",Positive
310,god bless you cm sir,Positive
311,name is not at all we want treatment sir,Negative
312,"sir griha nirman pathakam house loans jagan's issue, media has accused mani chapande sir.",Negative
313,lakshmi parvati's stomach is flat,Neutral
314,"the name is not important, we know that it was s who gave the name, but the one who gave the name will be remembered, but what matters is how well the service was given.",Positive
315,ntr all telugu people are not right to insult such a person how to insult those who have given recognition to telugu people is a proof of your perverse politics,Negative
316,all money is wasted to change names,Negative
317,waste politics,Negative
318,jai tantra,Positive
319,jayaho jagananna,Positive
320,make it applicable to all diseases by any name cm sir,Positive
321,"if babu wins, father's name is jagan, father's name is sonia, if husband's name is rajiv, is there anything new to do to change names?",Positive
322,super,Positive
323,our god is elder!!,Positive
324,arogya shri atta gurtun kochedi ne and onliyyayyay yasar,Negative
325,"haseena, are you well? have you eaten?",Positive
326,sir pl look into narsipatnam,Negative
327,hi sir please first constraint on helping people and development and stop on going crime and clear all pending cases in court i think it's better by changing name what problem will solve please can i know,Positive
328,anna read,Positive
329,what is sensational in this is that it is common for whoever is in power to do what they want,Positive
330,if chandrababu comes ytr jagan and ysr then there are no more good people in the state.,Negative
331,we will get all types of medical treatment s at district level hospital s 108services also having in good condition emergency medical treatment saves so many lives pranamamulu to rajanna for arogyasri,Positive
332,keep doing jagan anna god is with u no turning back,Negative
333,changing the names is enough for the cm,Positive
334,arogyasri is very good welfare scheme so many lower and middle class people are surviving for employers pensioners also having medica l assistance with out any delay we are no need of medical re imbersement getting medical bills claiming through treasuries difficult to us so there are some changes getting medical treatment amont kindly look at it,Positive
335,jagan yentra how lega cm jaganmohan reddy ani pettura taitel bodiga,Negative
336,christian missionaries moradabad,Positive
337,it is because of the thieves sitting there that our desa medicine has deteriorated. give chance to pkc youth,Positive
338,this is not the new m that i expected,Positive
339,ntr with vissar ora vissar with ntr y chant potti sriramulu alluri sitarama raju etch,Positive
340,jagan game starts now keep going nobody reach him,Negative
341,ing pleased,Positive
342,c m jagan garu he is great man,Positive
343,not your names ra important treatment ra kozzada,Negative
344,only change names,Positive
345,there is nothing wrong with this,Positive
346,ante alage tayaru keventundi ap iiiiiiiiiiiiiiiiii,Positive
347,"108 issues should also be kept in mind and should be more accessible to the people. when it is running with 100% government funds, it would be better if the government manages it on its own instead of handing it over to private organizations and misusing the funds.",Positive
348,opposition lo unnappudu argoysree ledannadu ippudu name change okati abba ysr chesina sankshema pathakalanu okkati kuda ignore cheyakunda cbn added few like anna canteen chandranna bheema cmrf help adharana,Negative
349,it was started by dr ysr as rajiv arogyasree later renamed by chandra babu naidu as ntr arogya seva again being renamed as ysr arogyasree,Negative
350,instead of changing name give better treatment to people,Neutral
351,arogyashri brought it i mean introduced it vissar garu correct decision sir,Positive
352,not changing the name sannasi ntr kannam vissar is great,Positive
353,name not important treatment is important,Neutral
354,contract jobs permanent chiyande jagan ji,Positive
355,johar issar father of arogyashri,Positive
356,jagan time starting,Negative
362,pm's first ry tube is opened for the first time.,Positive
392,aunu correct paripalana bavundi pedaprajalu dabbu government nunchi andukovadam ippude chusanu hami ivvadame road vesi malli elactions ke kanipinchevaru ippudu jagan anna ala kadu mata nilabettukunaru jai jagan,Positive
393,kapu chaste has no money,Negative
394,dwakra runs waived then,Negative
395,not building now,Negative
396,when mavayya dwakra loans,Negative
397,paytm,Positive
398,dwakra yeppudura,Positive
399,my uncle's accommodation did not come,Negative
400,paid promotion,Positive
401,</a>,Positive
402,ccd,Positive
404,jai jagananna please don't hopes on chandram and his own son's also dathra puthrudu's promises in coming elections,Negative
405,in support of adani bjp is suffering whole india where this madness will end is unimaginable,Negative
406,up has to happen to them,Positive
407,energy charges are 318 total bill amount is 718 ! wtf ?,Negative
408,"if you put the fan in 151, it's bad",Positive
409,the electricity bill is very painful,Neutral
410,chicken legs and masala mupavala,Positive
411,ani free fire entha goranga dochukuntunnaru nasamaipotaru chatta aaaaaaaaaaaaaaaaaaaaaa,Negative
412,maa intlo kinda portion kaaleega undhi daaniki meter separate aithe 1 unit vachindhi bill lo clear ga kani bill 349rs vesaaru motham kalipi true of charges fppca charges 2021 sept to aug 2023 varaku vesaaru dhaarunam,Negative
413,jagan charges anamata and extra charges,Positive
414,electricity used for 25 units is different from electricity used above 150 units need clarification sir,Neutral
415,saikocm migulunna vidyut vunna apni sarvanasanamsesinamu danakodukuttu 8sarlu charwspenchinamundacm,Negative
416,where is it ok ne katali ga,Positive
417,can ysrcp fan support these power bills ?,Positive
418,im seeing arrear amount reconnection fee 100/- what’s that,Negative
419,rip ap,Negative
420,please tell me what surchagay means,Positive
421,260 units are now 780 units in our house,Positive
422,there is a situation of borrowing even for the electricity bill,Neutral
423,"please vote for jai jagan's fans and don't forget. let's keep calm. let's increase the charges. next time, okay.",Positive
424,i have doubt all this charges same as all states or not?? is this making burden by central govt or state govt???,Negative
425,i paid 485 rs while my basic usage is 175 rs in vijayawada now i hardly stay in house 1 day or 0 day but fridge is on 24 hours super govt… what to do how to fight while until 2020 my father n mother stayed in this house on those days also even after using power the bill is always 300rs to 400 rs,Negative
426,why are ppke charging two times?,Negative
427,"anyway, in the end it is the people who lose",Positive
428,it is called democracy and it is the misfortune of our country,Negative
429,well said,Positive
430,the love of our world is to provide quality electricity,Positive
431,will the electric charges be reduced if babu garosh? please comment,Positive
432,tuglak zindabad,Positive
433,all free is the same as ap cm zindabad,Positive
434,how coorn man will know all this even educated persons are not understand the calculations,Negative
435,"if power is placed in the hands of a blacksmith, he will issue bills like this",Positive
436,govt has to take immediate right step to reduce the over burden on common man and poor public,Positive
437,inefficient admin resulted in burdening the common man,Negative
438,very clearly said,Negative
439,"dalits in andhra have free electricity, that's why they are charging money by naming the bill as useless charges, this lavada gov, we are daily wage laborers, why does no one give us this burden.",Negative
440,badude badude is called jagananna badude!,Negative
441,i compared it personally increased drastically charging more on common man,Neutral
442,modi is looking for the whole country for that,Positive
443,"if you want to get money like a free seller, you have to increase",Positive
444,there are situations like what to eat and what to buy when people grow up and die because they make people crazy and rob them,Positive
445,mundamopi administration will be like this rtc sand garbage or 100s more debt on liquor sector,Negative
446,horrible unbearable,Negative
447,"this is what robbing means, our circumstances must change",Positive
448,don't tax,Negative
449,hi sir why bjp ( modi ) fulley supported to these type of extra taxes ? how agree supreme court these type of taxes ? they might be ( bjp ycp supreme court ) gamblers,Negative
450,the reason for peak gari's three marriages is called pretam galu,Positive
451,seventh graders like positions,Positive
452,"what is said, what is the profit, if you get a bill, you have to pay it",Negative
453,i am in the same situation,Negative
454,"24 then man, if you have a tax dog, if you sneeze, tax, if you cough, tax, jai, jai, tax, those who pay the tax are free.",Negative
455,taking house tax again without receipt is rubbish tax,Negative
456,"if a miscreant is given the authority, he will charge any number of charges like this. if given the authority again, he will charge us here for the helicopter that he travels on.",Positive
457,"it's not over yet, there are still loads of charges to play us.",Positive
458,14-19 what is poverty? dengalek on tuesday then the unit was 5 rs now 20 rs that is what they said and they say that all the things in ap should be leased by private.,Negative
459,we have to live like early humans then don't use electricity,Neutral
460,"in andhra, very poor, they are charging 5/ rupees per unit, but they do not know when the electricity will come or when it will go out, no one asks about it.",Neutral
461,"orei babu, you want to achieve something great, all this is known to everyone, but one thing should be noted, the government puts money in its pocket, any money, any cost should be borne by the people, otherwise the money generated by the construction works of the people should be spent on a house like this. we pay the bill when we sit down, we pay the bill when we come for entertainment, we spend the money when we move around, but electricity is the most important system. if this system is to survive, the government has to bear all the expenses required for it. where does the government get this money from? nowhere in this, the government is not generating revenue, it only takes the necessary expenses for the supply of electricity from the people, but still thousands of crores of rupees are due.",Negative
462,not in the house 45 units rs 190/_,Negative
463,pankemalena yedavallara emperge penchet that value building megamall,Positive
464,the whole fraud is what sir luty is doing,Negative
465,up people will die by drinking poison and not vote for jaggan,Negative
466,that's the couple nagovt isrsp,Negative
467,last ki nasanamayyedi people,Negative
468,couldn't put up to a 20? 7 seems too low,Positive
469,"who wants to raise government salaries as you like them, we are raising them for your greatness for the sake of this name and for the sake of a poor man who was made a security guard and an attendant in a hospital is given 6000 7000. they are living here, poor people have no proper salaries, no proper future, no proper food, no health, not even able to go to hospital, unable to use arogyashree, rmp doctor dying, spending time in rmp, this is the history of our india. he was born to live like us, god gave him the right to live. he has the right to know, honey. show the poor to live, the poor to grow, the poor to be happy. oh lord, give them a good heart, the poor, show them a good way to live, father.",Positive
470,debts will also come in a few days,Negative
471,it is enough to waste another hundred charges because there are ocs,Negative
472,they said that we built a house in 2021 and got connection from 2014. why are they putting it on us? isn't it unfair?,Negative
473,"it is unfair to charge these 6 items on the people. they said that the charges for the purchase of coal are the charges for the purchase of coal. electricity is also produced from coal. sir, what are the charges for coal? sir, what are the charges for the electricity that was used in the past? there is no money for key schemes, so we will always get out of this wicked regime!",Negative
474,it would be good if the charges in our neighboring states are also explained,Positive
475,1st ap prajallu ki siggu ledhu epudu nduku bhandullu rastarokollu chaiydam ledhu okappudu unit 50 paise penchute road yeaki dharnallu bhadhullu cheasaru epudu yeam iendi ap prajallu ki padakallu ravvu ani bhayama siggu ledhu,Negative
476,my way,Positive
477,"in order to give schemes to 5 percent people, we have to rob 95% of the people in various forms. whatever the schemes, the politicians are taking them from the job and giving them to the people. people of andhra can't even understand that. now andhra state has started a new kind of plans. previously, they used to charge electricity bill for 30 days, now it is 28 or 27 days. it has shrunk in days which means that from now on every year we have to pay the current bill for 13 or 14 months. this type of method has started from arilova village in visakhapatnam. for the last six months, electricity bills are being collected in this way. shouldn't we steal from the people, looking from the front, not even a razor needle should go away?",Positive
