,Comments,Emotion
73,"aa road found out half a year is abominable, trusu women rapes, of course it can be bullshit",Negative
74,roja garu cinimalalo jabardast double meaning dialogues ki meeru vese vekilivesalu andariki telusu mee matalu deyyalu vedalu vallinchinatte unnai prativata pappujava vandithe tellarevaraku challaraledanta,Negative
75,pavalagadi has no school,Negative
76,roja who enjoys boohoo program has no right to talk about self respect of women,Negative
77,ayo roja don't need about disha kcr has proved tell our jagan to prove three rape cases that are moaning in our state right now,Positive
78,men should be sent to madhya pradesh,Negative
79,a government that cannot give onions is a waste,Negative
80,"the people of andhra pradesh are laughing at the words you are speaking, roja",Negative
81,jagan government compulsory give ak-47 to all andhra pradesh womens,Positive
82,"madam, you should prevent that batukuchitka school from happening to the people of jabardst disease.",Negative
83,super player,Positive
84,well done whoever you are,Positive
85,sugali demands justice for preeti,Positive
86,sukam evu to your mogudu before roja,Positive
87,ni notelo up people are stupid to get rid of you yamma,Negative
88,there is no place for mughals in up,Negative
89,"they say dashes like you should grow, you are super andi",Positive
90,"first of all, stop talking, then let's see the rest",Negative
91,"you don't talk about ladies, madam",Positive
92,appu thali,Negative
93,how can people like you change?,Positive
94,# which state should men go to?,Negative
95,"it is not good for us malam people to give bad publicity to us. remember, i am 60 years old",Negative
96,johar for the day,Positive
97,"roja, we have respect for girls before you reduce your beauty, because of you some people will lose the same",Positive
98,laws are good for women to use unfairly,Positive
99,will you make andhra pradesh a women's state and a men's state?,Negative
100,"from now on, there should be a good law for the protection of women",Positive
101,talk a little about mp gorantla madhav's rape case plz abba plz,Positive
102,not expected ur reply please,Negative
103,jabardasth antha verbal abuse towards women bahusa ye tv show lo ledemo paiga adi comedy and you are the god damn judge aa vekili comedy ki viragapadi navve nuvvu aadavalla patla respect gurinchi matladatam chaala jagratta ga sugali preethi nuvvu vachina cinema industry lo ninche vachina pratyusha teku lakshmi ayesha meera lanti cases ni mention cheyyakapovatam nee double standards ki nidarsanam unnav case lo influential people valla aa case ala aindi antune veellevvarini mention cheyyakapovatam just awesome,Negative
104,super speech rojagaru,Positive
105,"if you stand in a line near reino bazaar, you will know about onions",Positive
106,religion should be implemented not by making laws,Negative
107,hansap to you mam,Positive
108,also speak for sugali preeti it happened in our state not somewhere else give justice to the parents,Negative
109,inkennirojjule just three 5 years after i kada your work will also become people's,Positive
110,ladies there are some kilads because of which guys lives are ruined think about them they file cases for every little thing,Neutral
111,then the case will be filed against raja first chandrababu naidu sir,Negative
112,encounter road mida e partki a part roju narikesi shoot chesi endabetali shavanni nadiroadmida himsinchichampali nadiroadmida gudlupiki oil loveyinchali chin na adapilalni tuition kipmpudmnte byamvestundra kojalara ammakiayakipudte adapilalni gourvinchndi uthama purushudanianoinchkondi jayaho narisakthi ammalki akalkichelklki jagrta undamani vinavinchkuntunanu,Negative
113,sugalipreeti,Positive
114,endamma saroja andhra pradesh is the kingdom of women but men should go to machilipatnam tho,Neutral
115,should all men go to madhya pradesh?,Negative
116,magallantha magallapradesh ki powala roja aunty,Positive
117,"roju gauru registered a case of rape against your mp, he is the one who made the encounter madam",Negative
118,come into the matter in front of the mother and say thank you again,Positive
119,let's talk about sugali preeti and see if daring roja has the guts to talk,Positive
120,speaker please disturb and remove vedavas,Negative
121,speech adhurs,Positive
122,god bless you thalli excellent very so nice thalli,Positive
123,nothing was said about the rape incident in chittoor distick yesterday,Negative
124,roja is back,Negative
125,superrr roja garu,Positive
126,"let's call racha banda pradesh, sister",Positive
127,"jabardasth papa go and do shows, ysrcp worker is in rape case, kill him and stay with jagan government.",Negative
128,"why do you talk about sugali preeti in front of roja, do they have your political support or do dark business with women, roja?",Negative
129,amma rosamma is up but let's talk about sugali preeti,Positive
130,what about kattamanchi ramalingareddy issue,Negative
131,gorantla madhav pai eppudu rape case ayindi ? any one can please tell i don’t know this issue ?,Negative
132,chandrababu naidu is suffering because there is no onion in his son's honey dal ha super punch rojagaru,Negative
133,"something like you should be kicked out, she talks shamelessly",Negative
134,sarle nv go and do jabardast,Negative
135,madam jabarthast,Positive
136,amma roja garu what is assambalai la ladu amma,Negative
137,call money can be proved and punished,Negative
138,"what you used to talk about women before, everyone knows how you are in jabardastu.",Positive
139,don't do it roja,Negative
140,"why first of all about women's welfare, there is a rape case against your mp gorantla madhav, see that justice is done to those who filed it.",Negative
141,first sugali preeti gurunchi matadu roja nuvvu trvta a1 telangana ki cm nd minister ra meeru madanapalli lo mi binami lands gurunchi kuda matadu amma talli mi luccha minister's gurunchi kuda matadu mi amma mogudu minister's gurunchi kuda matadu nd betting raja boku yadav yedava gurunchi kuda matadu amma talli,Negative
142,roja said very well i love her,Positive
143,those who will die if they don't eat onions are shouting madly when rojagaru talks about the injustice done to women.,Negative
144,"women's pradesh means women without men, roja madam",Negative
145,"are the tdp fools, they are leaving the discussion on the protection of women and shouting about onions in the skin, they should be kicked out of the assembly.",Negative
146,y tdp is shouting,Negative
147,and the healing is like a jabardast show,Positive
148,rip tdp and cbn roja mam you are the best,Positive
149,awesome artist is back,Positive
150,what the hell is tdp shouting in background? i had a lot of respect for cbn he lost his touch better to just not contest in next elections and give the party to ntr cbn is just making a fool of himself in assembly lately then mr achem naidu - as jagan said multiple times he built his body fat but not mind next time achem naidu will loose for sure,Negative
151,daridram's speech does not invite such people to come to the assembly,Negative
152,you said super,Positive
153,"brother jagan, have a good night's sleep, brother jagan",Positive
154,o----- they care about other states and why are they not telling about what is happening in andhra,Negative
155,"yes, you are keeping old moguni in tamil nadu and you are telling everyone to take rest and send her out and make it mahila pradesh.",Negative
156,nibu makes me laugh when he talks about women,Neutral
157,"a man is not enough to reap you, a big man is needed",Positive
158,"know when the nirbhaya case happened, it happened in roja vissar's time. ah, why did the case happen?",Negative
159,what happened to baba's story?,Negative
160,hello roja garu first sugali do justice to preeti,Negative
161,roja you don't talk when you are in opposition talk now there are many conspiracies going on why do you talk now,Negative
162,,Neutral
163,"lips agiser shree lakshmi went to your cm's jail, that matter is she a girl or not, when she was sent to jail, what is the state of the transport state?",Negative
164,andhra pradesh is a women's pradesh and why do men give us magandhra pradesh when we are not married?,Negative
165,jail ki vellina vallu mana life ni sasistunte edi kaliyugam ani conform aavuthundi nuvvu kuda bahubalilo laga punishment evvama meku dammunda ap lo rape case criminals ni encounter cheyi chethanythe karnool lo political leader rape case lo unnadu chudamma me mp gorantla madhav meda rape case undi vaadi visayam thelchama mundu chatalu speedga pani cheste me 420 cm apudo jail lo padukunevadu sodi aapu chethalo chupettandi,Negative
166,why about him when he is not there?,Negative
167,moving to the state of women is a new hit for men,Positive
168,we don't want bootu purana players like you talo?,Negative
169,sugali should speak for preeti do justice for her,Positive
170,wat a power speech on current issue,Positive
171,this is what punishment,Negative
172,there is no onion in dal,Negative
173,caste why is jabardast not polite,Negative
174,jabardast did not succeed in anything,Negative
175,"i don't know if it will be women's state, but if you play, it will be state",Positive
176,mukove donkey mokandana aadwalla pradesh changed goondala pradesh it mad dogs howl in assembly,Negative
177,"it's very sad to see people's representatives from the opposition are not even letting others to speak on such an important issue related women's welfare and safety probably this is the worst and pathetic opposition that ever existed on the whole planet ""aadavalla pradesh"" doesn't mean that men should be driven out of the state it means that eveny man in the state should treat and respect women & girls and save them from being raped or murdered every women and girl child must feel safe and secure every man have mother sister wife and daughter in their life one or the later phases if anyone has an intention to good things we must support and welcome it because we're human beings i don't know about the morons and fanatics who fight only for power and leave welfare and safety of people aside and speak on unimportant issues",Negative
178,rosa is a big girl,Positive
179,there is a rape case against your mp. what did you do about the case in gorantla madhav ongolu?,Negative
180,good speech roja garu,Positive
181,all males go you live jamba lakidi pamba,Negative
182,are my sons born of a father?,Negative
183,please don't discriminate any one by gender or caste or religion or whatever every one should be equal in india,Negative
184,"if all the men in andhra pradesh go to telangana, tamil nadu, kerala, goa, then andhra pradesh will become a women's state",Negative
185,and all the men should go to madhya pradesh,Positive
186,lady tiger,Positive
187,action should be taken regarding the rape case in chittoor district,Positive
188,good roja very good discussion,Positive
189,any girl licence gun given better,Negative
190,well then kick out all the men,Negative
191,bhaga mataladaru roja akka tick,Negative
192,sit in front of abbo chusale,Positive
193,dummy home,Negative
194,we have seen many people like you,Positive
195,"hey, it's good poison, what are you talking about?",Positive
196,do you mean to make all the mughals go under glasses?,Negative
197,"if you speak, there is no one to listen to you. you know that if you had lost another 100 votes, the city would have been left in poverty.",Negative
198,encounter any tdp people too,Positive
199,it is better for tdp to be silent for a while,Positive
200,fire brand back,Negative
201,"@<a href=""https://www youtube com/watch?v=k7yxanlpqoo&t=4m03s"">4:03</a> 10lakhs each for 2500members & 250members also budget 25crores tongue slip or not make sense",Negative
202,i got 4 5 bands in ielts but i got admission in uk in jan 2020 i eligible for ntr videshi vidya scholarship or not pls comment,Negative
203,khammam district can also apply,Positive
204,and fake,Negative
205,site is not working properly after applying the site responds as application already submitted it is showing like this since past 3 months,Negative
206,"i have checked many times in the below link but its never opened <a href=""http://www epass cgg gov in/"">http://www epass cgg gov in/</a>",Negative
207,how can we apply can anybody provide me with the link,Positive
208,can we reimburse the fee which we paid recently came to canada and want to apply for this scholarship,Positive
209,how to apply,Positive
210,kamma will give them scholarship,Positive
211,does abc give them actual scholarship or not?,Negative
212,when will the registrations come open for 2018-19?,Negative
213,make 42 feet highway road from nakaraikal to nagarjuna sagar to macherla to kunta to rajmapet to renikunta,Positive
214,"as long as ycp exists, nothing but toys will work",Positive
215,what graphics are shown and cheated,Negative
216,this central govt has nothing to do except mud in the mouth of the people of south india,Negative
217,no bonda,Negative
218,graphics budget 1000 crores,Positive
219,where else with the graphics,Positive
220,super graphics,Positive
221,jai tdp,Positive
222,prasad,Positive
223,visk is a most beautiful city,Positive
224,yjmricchinasankranthikanukaluevi,Negative
225,cheap trichx bollinayala,Negative
226,chandrababu naidu is a bad fellow,Negative
227,"it's ok, check monthly distribution government ration for the poor and make videos",Positive
228,slippery mania group will never decapitate nuvudata,Positive
229,"he gave something, what did he give bongu jagan",Negative
230,the law of creation is the law of creation.,Positive
231,"everyone knows that the boy is your witness, stop it",Negative
232,your jagan servant aaaa,Positive
233,ore lanza blue paytm makkelade suman tv channel,Positive
234,"next to him, ysp left dinakoku",Negative
235,suman tiv kadu e'd jagan tv,Positive
236,if you can give it to 10 people then comment,Negative
237,how can chandranna kanuka be if the foundation does spencer?,Positive
238,the people of very babu,Positive
239,have you just got ebag and cbn blem cnheyadniki?,Negative
240,from sakshi news channel ??!!,Negative
241,"jagan should have given that too. sorry, i don't know how much the rate is in the shop. talk to me. how much did the ycp give you? do you have badal, which is not available to the public? what media?",Negative
242,"orey babu jagan has stolen 4 lakh crores, there is not a single trust, nothing to do with politics, and srinivasa rao has set up a trust.",Negative
243,one word is correct what veeti kosam endalo 6 hrs nunchoni tokkisalatalo chanipovadam very bad situation mana janalaku buddi ledu but the other thing is mana jagan anna enta kanna chetta ration istunadu monthly monthly avi kuda enni items emi levy sami only rice danilo enni purugulu enni rallu inka kandi pappu vatilo aa holes unna i vettukoni vandukunte oka gidda tisukune sagam gidda holes waste untai chi amma jivitam ani vandukovali alantivi chusina janalaku manchivi vastunte ante vallu last time chusaru ga cb cm ga unnapudu sankranti kanuka ramjan kanuka teesukunaru godhuma pindi to rottelu appalu alage raaulu jonnala to burelu chesukoni ayana echhina bellam neyyi vesukoni manchi food items tinnaru ga avi gurtu vachhi untai anduke paru go parugu petti vellaru e government vachhi nappati nunchi e festival chesukunnaru leg pettaru covid vachhindi eka kanukalu levy emi levi peda vallaki inka emi festival untadi meeku ippudu bagane andutunnai emo mana roja aunty laga manchi bellam pappulu uppulu anduke sweet sweet matalu vastunai,Negative
244,can you see the quality of rice that orey kozza is giving in the ration shop now? kozza is not giving the rest of the ration.,Neutral
245,suman tv kadhu jagan tv ani petali,Positive
246,suman tv fake ra,Negative
247,at all m can be given without anyone. makarma nt means that no one will call them m.,Negative
248,good explanation bro,Positive
249,10000×400=4000000 i have no somma,Negative
250,"what did jagan give you, why is your analysis useless",Negative
251,suman tv anchors chetta ga cheputhunnaru jagan sanka nakisthunnadu okka bokkapudchaledhu jagan mari okka vedhava aina yemaina ichara police lu fault kutra tho jarigindhi cheppadaniki yemaina cheppavachu meeku gittakapothe yennaina chepputharu sumantv fake ku veluthunnadhi neevu cheyira vela rupees tho,Negative
252,100?,Negative
253,420 cm that is also evalidu ga,Positive
254,"as long as there are bakaras who listen to chamba, the state will not change",Negative
255,sir miru evandi sir,Positive
256,10,Positive
257,100 rs archer give me 100 i want 100pec,Positive
258,everyone knows that suman tv is ycp,Negative
259,hit you with a sword,Positive
260,hello sir taste meru then kill,Negative
261,gov didn't even give it before orey,Negative
262,poor pupil aspirants can't be faulted they should be silent at the meetings of the politicians then the leaders will roam around the house,Negative
263,the explanation is genuine,Positive
264,meeru total aapesaarugaa chetta naa kodakallaraa,Negative
265,arey luccha nv nee420 jaggadu what gave boke naa kodakallara,Negative
266,"if food is given freely, it means that even the poor will benefit, the result will be loss of life. babu has a habit of being late",Neutral
267,rai babu baga vidamariche cheppavu mari nee nayakudu adekuda evaleni parishethilo vunnadu nuvu entha casta padi baaagaaa cheppavu janalaki evaru pittevaro evadu pittanivado bagathelusu nuvu muuuuuuuukuni kurcho,Negative
268,how much did jagan give me?,Positive
269,400 10000 4000000 amount yanta bro nuwuu chapindani prakaram alochinchi matladu,Negative
270,"if it works for a day, buy double",Positive
271,"your brother will come at the right time for the meeting, raja",Positive
272,they are dying on the wall of tdp for you,Negative
273,don't call it pay team tv.,Negative
274,you are too much,Neutral
275,you are talking about the useless jagan,Negative
276,"tell me what's your problem, erumunda.",Positive
277,super suman tv,Positive
278,correctly said,Positive
279,jay saban,Positive
280,that paid reporter dobbey ray also gives jagan.,Negative
281,"if govt gives monthly ration to poor people then people go for free things but when jagan govt comes they are giving rice only, tell me that too",Neutral
282,better shut up if you don't even give it away,Negative
283,"they are losing their precious lives jumping on the line of ""no political party idon't know but people's changed free"".",Negative
284,"when jagan govt came, we were waiting for 8 hours for 3 kgs of onions, then where did you all go?",Negative
285,"hamatram got up, not for those who are free, you have no common sense, you have paid promotion",Negative
286,"he asked how do you eat porambo, yadavas like you don't eat, but no matter how much you get, even the poor man can't afford it.",Neutral
287,"you are talking so cheap, it is not right to anchor jagan servant suman tv like this and no one will follow your channel.",Negative
288,aedchavly ra ne kalkalashans nv sodi telsulei nani nani nani nani kalan kaalashans nv sodi you want to say jai tdp to all.,Negative
289,suman t v ni evvaru nammaru vedava jagan adi kuda evvaledu kadaneku siggu lazza vunte bhayati ki velli enkedanaprajaliki pani ki vachhe pani chusuko honest ga mataladi te future lo bagupadatavu chinna age lo vunnavu gathi leka chestunnavu anukuntunnanu,Negative
290,hey pora rey poo,Positive
291,change your glasses bro,Positive
292,what green widows are taking people's lives,Positive
293,mar payatam dog channel,Positive
294,don't you shut your mouth?,Negative
295,you don't have that,Negative
296,"suman tv people donate, you don't",Negative
297,you don't have any brains to get up and go. you don't have that much.,Positive
298,what you want to say is not responsible to your government,Negative
299,instead of red change your color with green and blue,Negative
300,suman tv also paid channel,Positive
301,"era they got up steam, what did s tv do except live on the people",Positive
302,why is chandrababu's habit of doing such vile politics? it is evil. change now. losing lives can bring back life. is it possible to deceive the poor and do such vile politics?,Negative
303,the sister who took that parcel will not vote for tdp,Negative
304,6 hours is 24 hours,Negative
305,"how is he talking about giving you money, which is correct then oae you",Negative
306,"the photos are not necessary either, is it not the case that you will take the job if your photos do not come?",Neutral
307,original of th problem md,Positive
308,jajna pretam to the flower like a layer,Positive
309,correct,Positive
310,le pulka meru unnavi kuda thesesaru ippudu edo ma lanti peda vallaku free ga isthunte evi kuda chedakodathara ippudu ichhe chandranna kanuka em govt dabbulu say sontha dabbulega a jagan eppudain ma lanti peda valaki ila ichhara,Negative
311,"orey piccha lanza kodaka someone gave it to him, what are you doing with his own money broker lanza kodaka",Negative
312,sir every month ee: kota rice chupinha dhi,Positive
313,this is our society where good deeds are not allowed to be done,Positive
314,people are crazy for freebies,Positive
315,ara broker na kadaka,Negative
316,once again you proved to be jalagas servant,Positive
317,everyone is watching for 4 years what did your johanna do,Positive
318,you are a part of jagananna's party,Positive
319,suman tv aa roshan gadu pretam batch,Positive
320,jagan tv not sumantav,Negative
321,you are also taken paket,Negative
322,suman tv thought it was real but it was fake,Negative
323,who is tusuki and ramanaru,Positive
324,mari tomuch chaiyaku ra me jagan chedahnikana na,Negative
325,bey will be more than that if he comes to power,Positive
326,1000rs bey,Positive
327,be happy for giving when you don't need to give,Positive
328,priya brand item,Positive
329,tamarind is very good,Positive
330,jaggery is good,Positive
331,local amazon africa we buy direct from farmers,Positive
332,300 to 500 rs saree rate,Negative
333,give your stove better kits too,Positive
334,poora,Negative
335,let's see if you can give me your pictures. they are not even giving kandippu which should be given in the ration,Negative
336,what if 2 pumps work if there are 24 pumps? are you tired? this omai sons,Negative
337,excellent cbn sir excellent,Positive
338,adbhutam cbn really a visionary leader 14 lakhs acres ki water supply chesthunna patti seema project chalaa santosham evaru farmers ki favor prove chesukunnaru well done cbn garu ur the best leader in india,Positive
339,that is cbn jai ntr jai cbn,Negative
340,"black farmers are happy and chintalapudi farmers are not given water through their lands, this is atrocity.",Negative
341,oke zillalo mumputo konta area unte karuvuto konta prantam alladutondi neeru samudramloki potunte 60 samvatsaraluga evaru pattinchukoledu cm lu nayakulu kuberulayyaru,Positive
342,maa metta prntalaku meeru neellu ivvaru mammalni telangana love kalapandi akkada free current ina dorukutndi yekaraku 10000 sahayam insurance untundi mee pettanalu mapai vaddu,Negative
343,w g dt loni metta prantala prajalara melukondi yennallu ila dopidiki guri avudam godar neeru samudramloki potunte mana prantamlo karuvu tandavistunte ee60 samvatsaraluga manku origindi emiti,Negative
344,prati year godawsri water samudramloki potunna ee 60 yearslo ye govt maa metta prantala gurinchi pattinchukola ipudu krishna delta rayalaseemaki kuda istarata mari maa chintalapudiki sangathi emiti yekkadanuncho leaders vachi maa pai pettanam ilage ieite maro metta prantala andhra udyamam khayam,Positive
345,chintalapudi ki neelu ivvaru maa taluka ni telangana lo kalapandi telangana govt iyina free electricity bhavishyatulo neellu vastsyi andhralo maku anyayame jjarigindi,Negative
346,jai andhra pradesh jai chandrababu,Positive
347,"if the water of godavari, which goes wastefully into the sea, is mixed with krishna, some ascetics who pluck feathers on chicken eggs are also criticizing this matter.",Neutral
348,5 od place b baba garu,Positive
349,that is c m,Positive
350,"that is chandra babu, the great c m chandra babu, who stood on his words and slapped the leaders who mislead them by saying words, you should be super cool for ten years.",Positive
351,this is an idea conceived by n chandrababu naidu on his own - not a kind word for him by v6,Positive
352,good v6 for supporting hard work keep it up,Positive
353,this is amazing work by babu garu hats off to his dedication and commitment to make ap a drought free once polavaram project gets completed & other channels gets completed in rayala seema most of ap will be amazing,Positive
354,after all this also ap did not got special status,Neutral
355,jai telangana,Positive
356,what modi ji has said that absolute truth to it there is no denying on how tdp took advantage of the separation and went away from contesting elections in telangana if tdp was formed to serve the telugu people how come they ignored the telugu speaking community in telangana and think only andhra pradesh region speaks telugu,Positive
357,ap note,Positive
358,cbn is known for backstabbing,Positive
359,kcr & jagan culprit in telugu states failure ap tughlaq ts tughlaq,Negative
360,visionary leader chandrababu naidu goes best oscar award to actor modi,Positive
361,what an acting ? have some shame really,Negative
362,is modi saying that telangana shouldn't be formed then he is fucking wrong person,Negative
363,jai jagan,Positive
364,shame on tdp,Negative
365,fan thiruguddi will come and say what is there now is gone,Positive
366,east and west modi is best,Positive
367,chandrababu is a dog,Positive
368,such a dirty politician,Negative
369,telugu his mother anta how come telugu is his mother did he forgot he came from gujarat lol,Negative
370,"tdp, my sons are listening to jokes, where else is vastadi special status",Positive
371,rip tdp,Negative
372,what an action modi ji,Positive
373,"as a baker, you speak without shame",Positive
374,modi gadu modda gadu kukka chau chastav madarchid,Positive
375,wow james bond modi,Positive
376,he is not actor he is no word tell about him,Negative
377,al ready rip bjp in ap,Positive
378,pora you have a dare come to ap ap people will salp you balady modi,Negative
379,pm ipoyaru modi lakapothae <i>_____</i> baavodvaga prasanagalu anne sarlu panichaiav u will lose,Negative
380,rest in peace b j p,Positive
381,rip ycp and bjp,Negative
382,modi best orator in the world,Positive
383,whammo em achting modi g,Negative
384,jc attended the session?? shocking,Negative
385,joke,Negative
386,nillu velthunnaya ledha anndhe lekka migatha vanni bokka assalu bokka kalesvaram lo vundhi chusuko po nillu etununchi etu pothunnayo evvadiki thelidhu varsha kalamlo nillu thodi malli adhe nadhilo pose panki malina pani evvadaki vupayogam,Negative
387,you should drink water only when you are thirsty. there is no use in drinking water after the life in your throat is gone. there is no price for water.,Negative
388,are you seeing the eyes of a widow?,Negative
389,will undavalli sulligadu come and save the farmers?,Negative
390,"is it a shame if people die due to drought, should they eat grass for 20 years???? polavaram will not be complete even for 20 years, is the environment helping the farmers?",Negative
391,th,Positive
392,you have ultimate talking power in politics i like your explanations till now i was watch more videos and good information thank you,Positive
393,tax payers money how to recovery money from babu tell sir,Positive
394,due to pattiseema entire krishna delta was protected lakhs of farmers families protected due to lack of water in krishna river crop holidays declared before 2014 if corruption is there talk only that matter do not say pattiseema waste supply of water instantly according to need is not possible in that situation pattisema came,Negative
395,"like shivaji garudapuranam, which caste gaji nagarjuna sai telakapalli will put you inside, then stop bias journalism.",Negative
396,ar sakshi's child and why are you using water from pattiseema,Positive
397,it is very unfortunate that a person claiming as ca is commenting pattiseema project as waste project official expenditure is 1700cr actually this project is integrated project of polavaram cant you see the stabilisation of krishna delta aayacut with this water the allocated krishna delta water has been diverted to rayalaseema regions via gnss and hnss projects just imagine if water is available to farmers do they complain sir i request you to broaden your view n atleast cultivate a habit to appreciate when good is done,Negative
398,sir u had seen how impartial or partial are central govt agencies towards a p election commission itself is stark example yet u want to blame a good work done by c b n not acceptable people knew how impartial are constitutional authorities now they were never this bad earlier u cant say that u did not know u are also elderly,Negative
399,"auditors go and say these words in front of the farmers of krishna delta, they will immediately break their cheeks and ask why they were beaten.",Negative
400,pattiseema not pattuseema ok good analysis but who cares tdp got mixed up in muddled finish,Positive
401,ok dabbulu tintaru its people money if misused how to recovery that amount punishing the guilty,Positive
402,"instead of this person talking about pattiseema with caste madness in the media, will he speak in the villages of krishna delta and convince the farmers to encourage such people.",Negative
403,pattiseema project is totally waste,Negative
