,Comments,Emotion
32,"babu, bilup doesn't believe you that you are killing vedu polavaram",Negative
33,pola babu,Negative
34,we will win definately,Positive
35,grandsons briefed about you thief my son,Negative
36,jai jagan,Negative
37,bye bye babu people of ap will brief u ok na all the best once again bye byeeeeee,Negative
38,420 420 420 420,Negative
39,bye bye babu,Negative
40,jay saban,Negative
41,dagah hhhh weather,Neutral
42,brief babu bye bye babu,Negative
43,bye bye babu give rest to your life u r tired we can see it39s time that young generation of leaders will emerge and lead ap to greater heights don39t worry ap has intellectual brains who will work with jagan to make ap prosperous,Negative
44,bye bye babu g,Neutral
45,donga don't vote tdp,Positive
46,don39t understand why people hate cbn and what jagan did for ap people chose cbn in 2014 crisis n he set the stage for future ap is no 1 in gdp revenue growth n even bagged 600 awards from central gov wishing cbn pk jagan all the best,Positive
47,orei babu,Negative
48,thu nee bathuku,Negative
49,lou big speaker no,Negative
50,poora tdp rise,Positive
51,shaswatha selavu leave for ever,Negative
52,"how low babu will do anything for votes, no work, nothing but holding your legs.",Negative
53,best of luck,Positive
54,we support tdp and cbn,Positive
55,what r u talking arei here me what am saying i don39t vote for u this is our commitment we will work together,Positive
56,bye bye babu,Negative
57,"sorry sir, i don't believe you, babu",Negative
58,jai cbn jai tdp,Positive
59,"anditei has no hair and eyes. he wanted to touch kcr's hair in the other day. he didn't get it. now, will up voterish touch his eyes?",Negative
60,"if the dialogues are put in a super movie, it will be next to 100 days",Positive
61,now after padabhi salutation the words are drawn,Negative
62,"haha, you people have been bowing down for so long, the fate is the same",Positive
63,you but pinchei himself will come to different people,Negative
64,sir cbn garu miru cm aina maku a pblm ledu but balakrishna lokesh chinthamineni prabhakar elanti vaalani politics lo nunchi thisesthe miku confirm ga 100 vote vestham alanti vaalaki ticket enduku esthunaru minimum knowledge kuda ledu waste fellows but me medha maku gouvravam undi adi pogotukokandi plss,Positive
65,it39s last speech cbn bye bye babu,Positive
66,"babu up's shani has been in nellore for four years. even if you give one rupee, you are giving loot to the drought-stricken areas. you have no shame.",Positive
67,"every time he buys a little, the tarwarha dictator kills without a future for anyone",Negative
68,boy boy babu i am the next cm will do well,Positive
69,the situation seems to make perfect sense,Positive
70,bye bye babooru,Negative
71,papamm,Negative
72,even the slip is not being read in telugu and yet the cm of the telugu state is so loll,Positive
73,"haha, you're in trouble",Positive
74,"if you are correct, there is no need to stoop down and put your feet on the ground. i believe you, babu",Negative
75,bye bye babu,Negative
76,bye bye babu,Negative
77,"if you want to give a speech, you have to look at the paper and say that you are saying chal be boy boy babu boy boy pappu too.",Positive
78,"sir, they have degraded so much",Negative
79,up people with jagan national leaders with jagan a leader who knows the problems of the people jagan is the only man who can bring special status jagan jai jagan,Negative
80,bye bye babu,Negative
81,nammam ra naayana ninnu bye bye babu,Neutral
82,people don't believe chandrababu's mischievous plots by making false propaganda,Negative
83,dengai maikilode,Negative
84,jai saban sir great meeru jai telugudesam,Positive
85,"boy boy babu, how careless you looked at seema, we have forgiven you forever, you made amaravati into kamaravati.",Negative
86,don't take a rest yet boy boy babu,Positive
87,a shameless birth,Negative
88,bye bye babu,Negative
89,it would be better if you give jobs sir,Positive
90,he is also shy because of the fear of defeat,Negative
91,is there anything left to loot?,Negative
92,"do not bend the cabin, we will remove the bend after the election.",Negative
93,"chandrababu is the son of v donga, an actor who is older than ntr",Negative
94,"you will do any mean things to win, you chan go and take rest",Positive
95,hold my legs baby,Negative
96,hi there,Neutral
97,it's time to give yourself a rest,Negative
98,jai tdp jai cbn,Positive
99,nennu nammamu no bye bye no,Negative
100,bye bye babbu,Negative
101,u will win for sure sir,Positive
102,what i am saying is bye bye babu,Negative
103,"i believe you, babu",Positive
104,don39t believe his words never ever believe,Negative
105,sanku also needs power,Negative
106,bye bye babu ne kanna state ni avadu nasanam cheyadu ne valla ap lo kulapitchi peaks appulu peaks cureption peaks nv all sectors failed cm waste babu bye bye babu take rest inka life lo cm kalevu 3 times fools ni chesavu chalu inka,Negative
107,haha bow your head and feet for votes later can we catch your eyes we don't want you in,Positive
108,apcm ys jagan mohan reddy sir,Positive
109,dongaa 420,Negative
110,chalu ra babu poo sulu you are a 420,Negative
111,nee sodhi aapara babu ippudu kallu pattukuntav tharuvatha 4 years prajala raktham thaguthavu asalu nuvvu matapai nilabadithe kada prajalu nee mata nammakaniki state motham mem nammam babu ninnu antunnaru ee sari ninnu vodisthe thappa state nu kapadalemu,Negative
112,there is no worst,Positive
113,cbn,Positive
114,he is a big thief and cheater who even catches eyes during elections,Negative
115,dharmapuratam antane,Negative
116,it's time to reiy,Negative
117,"langa babu, we are andra prajalu",Negative
118,i don39t believe cbn sir,Positive
119,we want jagan for special statous ravali jagan kavali jagan bye bye babu tala kindaku petti tapassu chesina tdp secret alliance with package pawan kutami could not secure deposits in 2019 they have lost their credibility and trust,Negative
120,"we will also drag and send a ton of kicks on the muddi, boy boy babu",Negative
121,jai janasena vote for gilas,Negative
122,"if you believe in destiny, the state will be destroyed for another 5 years, so don't believe in it.",Negative
123,"pora babu nilantollu there are many people in andhra, they have no chance, they work better than you.",Positive
124,nuww's that much of kibin,Negative
125,apparaaa babu,Negative
126,shame on beggars,Negative
127,now you bend elections win ayya ka people bend bedtao pora kukka,Positive
128,jai jagan,Negative
129,bob,Neutral
130,your plays are huge,Positive
131,jaya telugu country,Positive
132,what i39m trying to say is mana vallu briefed me d39t brother i39m with you,Neutral
133,deposits raaavu 2019lo,Negative
134,terriost basted party should be dispose from country maker of jaggus,Positive
135,what a energy,Positive
136,ninnu marichipoyaaaaaruuuuu,Negative
137,those who are asked will come,Negative
138,"yes, you gave aiya home",Positive
139,ap tdp end,Positive
140,in nandyala people are rapping but votes are not falling so shud 420 seebum you will never gain in rayalaseema,Negative
141,rey bolli pukaila you ne pooku lo army anta shade ke hi hi hi,Negative
142,bolli b take,Negative
143,musuki po drama lo chai,Negative
144,bye bye babu,Negative
145,jai tdp,Positive
146,andhra pradesh life cm chandrababu naidu,Positive
147,super anna,Positive
148,"let it be soap, let it be tdp, let it be telugu atma gauravam",Positive
149,father of indian politics a living legend,Positive
150,the head is asking if there is a nose,Negative
151,cbn sir ap is with you,Positive
152,jai ho tdp har bar tdp,Positive
153,cm chandrababu naidu 2019 an 2024 any question from hyderabad,Positive
154,the legend of politics cm chandrababu naidu garu from hyderabad,Positive
155,nandyala police sepos should be made permanent,Negative
156,excellent speech,Positive
157,donga babu,Negative
158,babu bjp no mosam secindu,Negative
159,"if the bjp puts up, the ship will come",Negative
160,jai bjp come back modi,Positive
161,we can't see your face,Negative
162,you think swami first you get down from cm seat swami,Positive
163,"remember the ruling party in the bye-election, how many times have you given uttar plop chalu ni badal abdalalu chalu?",Negative
164,"there is a photo of vissar next to it, it looks like it has been advertised for ycp hahaha",Positive
165,"how can you bring the whole world, i have no difference with your son, babu chi chi, your words are not worth anything",Negative
166,crazy tughlaq,Negative
167,d39t blame us again we are not ready to listen all your fake promises,Negative
168,chi's defeat is certain,Negative
169,copy speech,Negative
170,enough babu enough,Negative
171,abba emi love,Positive
172,where will you put the other assemblies?,Negative
173,enough brothers,Negative
174,read dhega,Negative
175,malli vadoo babu,Negative
176,super speech jai tdp,Positive
177,jai telugu country,Positive
178,super speech,Positive
179,jai jagan,Negative
180,jai tdp her cbn steam,Positive
181,"pulka, why has the farmers not paid till now?",Negative
182,me nut etc.,Negative
183,gudivada ax nani adda nani will win,Positive
184,they say the same to anyone,Negative
185,totally,Negative
186,appreciate the way he is campaigning and points he is picking,Positive
187,definitely win tdp,Positive
188,gudivada nani adda 100 win nani,Positive
189,i support avinash tdp,Positive
190,ntv,Neutral
191,"sir, is the joint andhra pradesh k mira, 9 years cm again then m pikaru, now again 5 years mira, now m pikaru",Positive
192,it39s a cakewalk for you as sir we have confidence in you,Positive
193,"it's not because of me that it's been 1000 years, how can you hate the people because you lost 2 times in a row to a kulagajji?",Negative
194,420 20 20,Negative
195,,Neutral
196,so far bul bul is a mental candidate now this 420 tdp babu also joined into erra gadda mental hospital,Positive
197,bye bye babu,Negative
198,we won39t believe you babu,Positive
199,"i believe you, babu",Positive
200,jai chandranna jai ​​tadap save a,Positive
201,jay saban,Negative
202,"babu, i'm kicking out the hide",Negative
203,against telangana people,Neutral
204,420 chandra babu,Negative
205,the bugs are stuck on your cloth,Negative
206,"ray telangana state has been separated, have you not lost hope for telangana yet?",Negative
207,kcr,Neutral
208,"hey, you're a liar, like a loafer guntanaka, you should be alive, talk like this.",Positive
209,1984 1995 1996 1999 2009 2014 2018,Neutral
210,everyone knows that the colors of the cabin will be changed. vote for ycp,Neutral
211,it is said that the chameleon is wopsarally,Neutral
212,"it is you who wrote, not vissar",Negative
213,vote ki note case lo vusaravelli special status lo vusaravelli hatyarajakeeyalalo vusaravelli leni development ni vunnatlu cheppadamlo vusaravellicbi ed ec issuelo vusaravelli ilacheppukuntopote migurichi chaaaaaaaala vunnayi vusaravelli babugaru,Positive
214,babu you are your words,Negative
215,"who is better than you to put it in your mouth, chameleon",Positive
216,"hey baboy, you have to do it yourself, if anyone listens to the chameleon's politics, then you",Negative
217,j spn i,Neutral
218,vote against bjp and modi in every state,Negative
219,"andhra will be looted, visakha port will be moved to bengal, kejriwal's grave will be cut in amaravati",Negative
220,jai lakhmias ntr,Positive
221,babu's comedy would have been better if rahul had to be called too,Positive
222,orey vedava chachipora,Negative
223,50 page cheats jai kibin jai ditap,Negative
224,does ntv people look at comments audio is mono not stereo,Neutral
225,i like cbn,Positive
226,ycp m peekaleru yellow army chudandra fools you cant peekaler even a hair of your jagan cabin ok na jai ​​seebam jai telugu desam party,Positive
227,jai jagan,Negative
228,we need lethu by our side,Negative
229,420 jagan came and did nothing except rowdyism and hooliganism,Negative
230,jai cbn jai tdp ap next 2019 cm one and only chandra babu naidu sir,Positive
231,jai tdp,Positive
232,ninnu namam babu,Negative
233,do not believe the words of a thief,Negative
234,donga jagan,Negative
235,"you are a fool, you won't vote, there is no direction to the promises you made, mali's promises are a fraud.",Negative
236,jay saban,Negative
237,jai chandrababu,Positive
238,"are you going with kashka, viper?",Negative
239,jai jagan,Negative
240,ninnu namnam babu tdp is on the side of defeat,Positive
241,jai jagan anna,Negative
242,jai tdp,Positive
243,bab gossip,Negative
244,he said what a worst fellow he is,Negative
245,drought baby,Negative
246,farmers migrated under cabin administration which is very bad for our state,Negative
247,my vote for the farmer is for jagan,Negative
248,to win the farmer means to win jagan,Positive
249,babu still doesn't believe you,Negative
250,how can jagan be a g tdp who can make people so angry?,Positive
251,jai tdp,Positive
252,because ycp win babu garu does not have a book there,Positive
253,420 cbn,Positive
254,5,Neutral
255,you will also be careful,Positive
256,jai jagan,Negative
257,ray jaffana jaffadaga nuv m peekalevi yet your service is over,Negative
258,where are you working? are you living in bangalore?,Neutral
259,420 cbb,Negative
260,who is more unjust than you?,Negative
261,ysr and cbn are the best jagan pawan to follow,Positive
262,jagan,Negative
263,jai navag,Neutral
264,jai jagan anna,Negative
265,jai nvg vote for only nvg,Neutral
266,jai jagan,Negative
267,there were 420,Negative
268,jay saban,Negative
269,you should go and the state will be better,Positive
270,jai jagan,Negative
271,"come on, jaffa, what have you been doing all these days?",Negative
272,great bro sir you will win you are next see me sir god bless you,Positive
273,vamshi la nijakodaga bhuvanraswarini mataladuva,Negative
274,wherever tdp goes,Positive
275,last 20 years 39s red sandal smuggling root kammam rajamundry root dumping aria to vizag port port to vaya bangladesh viyathnam maldeevs combodia to chaina america germany etc,Negative
276,who is watching it in 2023 vamsi is donga fellow,Negative
277,there is no one who plays liars like you,Negative
278,donga yerri red,Negative
279,oray is a dog,Negative
280,chillara is my son,Negative
281,how much change in politics in 2 years,Neutral
282,whatever tdp whatever soap whatever,Positive
283,orei now am imd ra lafut,Negative
284,send this video to that edava vamsi on whatsapp,Negative
285,"mr. jagan punches me with this interview, he is stupid",Negative
286,now you are in ycp,Negative
287,house ara korja,Negative
288,por lucha,Negative
289,erri pappa of ne nija swarupam ft,Negative
290,"and you changed the party, sir",Positive
291,lol,Positive
292,as pura kukka vamsi,Negative
293,why are you talking so much about the cabin?,Negative
294,"and why are you coming to our ysrcp, you can't survive if you don't have power in politics.",Negative
295,it's a fact,Positive
296,vamsigadu transporter,Negative
297,jagan anna next cm,Positive
298,my hero vamsi garu jai tdp jai cabin i love you tdp,Positive
299,jai vamsi anna,Neutral
300,jai tdp jai vamsi anna,Positive
301,jai vamsi,Neutral
302,"haha, his kantech anchor says very happily about jagan",Positive
303,cheeeeeeee nuv better cbn kanna,Positive
304,criminals trust the friday star,Negative
305,jai telugudesam jai chandrababu jai tantra,Positive
306,go friday,Neutral
307,tdp janda road in gannavaram centre,Positive
308,jai jagan anna,Negative
309,seebum will not believe you no matter how many stunts you do,Negative
310,jay saban,Negative
311,please vote for tdp,Positive
312,jai tdp jai vamsi,Positive
313,nee bocca ra vamsi,Negative
314,jai jagan,Negative
315,jai tdp,Positive
316,jai jagan,Negative
317,"look at the position in gammavaram before vamsi, there is a tough fight, tell me later cm jagan",Negative
318,vamsi anna it is tough fight for u this time,Negative
319,jai vamsi jai tdp,Positive
320,chandrababa and tdp robbers have robbed up,Positive
321,there are no candidates for 14 tdp mp tickets,Positive
322,jai tdp,Positive
323,tdp cbn 2014 vote,Positive
324,jagan out,Negative
325,don t worry jagan will be cm,Negative
326,you don't know the truth as long as there is a media in the cabin army of the sheep that propagates what you said is correct,Negative
327,pappu is male,Negative
328,how many people to watch comedy,Positive
329,a bicycle tire will blow if you want,Positive
330,the bicycle is working,Negative
331,"if your nomination is correct, why should you sign near the election officer's signature?",Negative
332,day pap,Negative
333,mudda pappu la bale unnao gundram ga,Negative
334,"if langa does the work, she will have to kick herself",Negative
335,pappu waste of years,Negative
336,"for once, all future candidates should lose in the upcoming elections and become cm candidates",Negative
337,nidhi accepted the nomination lokesh,Positive
338,day pap,Negative
339,who won?,Negative
340,revant teddy lost nani how much,Negative
341,"if you are stuttering, learn to speak first and then compete",Negative
342,you will bet crores of rupees and you will win,Positive
343,vote for avinash,Negative
344,he wants to win me in gudivada,Positive
345,gudivada kodali nani adda,Negative
346,go to tdp go to tdp go to tdp go to tdp go to johar's post,Positive
347,kcr does not insist that ycp is an odi competitor,Neutral
348,wave changed avinash win,Positive
349,jai tdp jai avinash jai jai avinash,Positive
350,"ok grandfather, the results will be known",Positive
351,"ar babu no matter where you are, the winner is just publicity.",Positive
352,you are on the march of cheesydi gudivada,Neutral
353,miru sibin ki dorikina maro valli passuu,Negative
354,nani has more chances to win,Positive
355,jai avnish,Negative
356,"priest, you want to talk, it's hot, stay in the room, you're stuttering, stuttering.",Negative
357,jai avnish,Negative
358,jay nani,Negative
359,"you have given money to the people for medicine, that's why people have bought it",Positive
360,"you have become stupid because of you, i salute you.",Negative
361,best comedy 2019 election cbn speeches i love it,Positive
362,to be,Neutral
363,"believe in you, babuju",Positive
364,"he who does not believe in you is called bala krishna, he is a red bean",Negative
365,create one graphic and copy it for 49 times simple,Positive
366,liars have no control,Negative
367,4,Neutral
368,"if nandyala abhivuddi is to come, babu should come jai tdp",Positive
369,"you are also copying the speech style, is this a 40 years industry",Negative
370,neevu thondara gaa intiki poie padukovalani nv evarini thechi nee dappu kotukkunna ninu evada ra namedi bolli babu chi nee cheap politics nee mosapu matalu chaaa,Negative
371,"jagan's party is as strong as america, this is sodi morale",Positive
372,"i don't believe you, babu",Negative
373,the array ends in infinity,Negative
374,1000 can be done in a dream,Positive
375,vijayawada durga goofy flyover complete che chalu we feel shame to listen to you,Negative
376,i believe in you mom baboouuuu,Positive
377,"in the country, you will get the pride of the country",Positive
378,esari cbn jailo petuthar,Positive
379,bonda heard that he cheated 600 people and he will hide 20,Negative
380,nee bonda ra anta group graphical suite like aa hyderabad,Positive
381,5 5,Neutral
382,"gwal look, put on your eyes, put on your glasses.",Negative
383,"so far, who are you?",Negative
384,capital was not completed in 5 years but hyderabad will survive,Neutral
385,"you will do anything for these elections, you are sure to lose this time",Negative
386,he was afraid of defeat,Negative
387,facing jagan is not called by so many people,Negative
388,cbngadu the next shopkeepers lanzalaga,Positive
389,jai cbn jai jai cbn ap cm one and only chandra babu naidu sir tdp win 153mla seats and 23 mp seats win,Positive
390,comment 100 don39t worry don39t think,Negative
391,super ntr tdp cm,Positive
392,jay saban,Negative
393,donga ki toduga maro kashmir donga,Negative
394,dicks,Negative
395,cabin loses,Negative
396,lol g seem sir i should tell you but if you come and sing telugu and hindi songs we will pay paise but votes veyyani farooq fekuruddin,Positive
397,faruk support local terrorism opposite for indian army in kashmir,Negative
398,tdp all ichasena next come this side of ee,Positive
399,420 batch saffron thief,Negative
400,two old men can't even comb jagan's hair,Negative
401,what did he do to kashmir?,Negative
402,winnie brought it to the cabin,Positive
403,there is no comedy for me,Negative
404,ray chanderbabu why did you bring them?,Negative
405,pm modi brought you to defeat you,Negative
406,chandrababu nuvvu yenni jimmikulu chesinaaa nuvvu odipothaaaaaaaaaaaav,Negative
407,where was the nakoga,Negative
408,"you are there, your son",Negative
409,"lokesh, you are like a big boy",Positive
410,,Neutral
411,"mandala or mundara speaks clearly, lokesh",Positive
412,people have already told you that they are telling you good stories,Positive
413,say your religion in the circus as a great joker,Positive
414,"i'm babu, my son, ouraku.",Negative
415,"orei malokam, look at your father's record",Negative
416,,Neutral
417,papu lokesh,Negative
418,where are you?,Negative
419,ne bondara will understand what you are talking about,Negative
420,hyd,Neutral
421,sooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,Neutral
422,he is the future of tdp party jai lokesh and tdp party,Positive
423,they told him good stories and took him upstairs.,Positive
424,jr your pal,Negative
425,lolesh's speech is lacking and needs to be developed,Negative
426,baboy apoorababu neko you are the best,Positive
427,oredhdham,Negative
428,you will be born with whom your mother sleeps with,Negative
429,yadesavula,Negative
430,galemedal,Neutral
431,"deposits cannot be made by taking everyone on a bicycle, oli 30 years no doubt",Positive
432,gelechedi vice jagam 30 up sim no doubt chendichu vellu,Positive
433,wooooooow again comedy starts after corona lockdown jai comedy star lokesh,Positive
434,father,Neutral
435,where are you,Negative
436,waste you don't have much of a scene,Negative
437,kaboyo cm for vida app,Negative
438,"yes, there is no erripuka, that's why king lion won 151 seats with his own party",Positive
439,if you are talking to me,Negative
440,what is the real purpose of competing with jagan?,Negative
441,my babu you are there come,Negative
442,papu noru muye,Negative
443,lokeshu did not get the wisdom that the people taught him,Negative
444,chandrababu freud lokesh wasted,Negative
445,what is this karma for us?,Negative
446,chinna babu told no one,Negative
447,all india political fake,Negative
448,all india government fake,Negative
449,ab oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,Neutral
450,very funny guy,Positive
451,pop pop pop izu,Negative
452,t,Neutral
453,abulash,Negative
454,"it is said that lotus pond is in bangalore, sir, and it is in hyde",Negative
455,"of course, nerves",Negative
456,waste fellow,Negative
457,"people told you about your father's wisdom, but you did not get wisdom",Negative
458,2020,Neutral
459,what have you done for 5 years? you have done nothing but criticizing jagan,Negative
460,he doesn't even speak english well,Positive
461,yama was sent to the speed room,Negative
462,"now you don't need up police, why are you always hiding?",Negative
463,yeme speech ra nayana location tuition tesu ko babu,Negative
464,6 00 a hrefhttpswww youtube comwatchvvkgzxzhlukcampt7m00s700a,Neutral
465,padi,Negative
466,amma pig,Negative
467,pop,Negative
468,,Neutral
469,papuu garu,Negative
470,minister iyyava won't be able to become a ward member even if he is given a post,Negative
471,he spoke well,Positive
472,"if people vote for khidi no 6093, they will be sent to jail",Negative
473,please try to tell what you have done better than my it minister ktr do you have dare to sit for debate with ktr,Positive
474,niki is shown wait and c in mangalagiri,Negative
475,"buddi will definitely tell you that the public is ready to get your 420 father, papu g",Positive
476,jr paul,Negative
477,,Neutral
478,pappugadoo,Negative
479,people come nayanala,Neutral
480,learn telugu first,Negative
481,"we got married, but suresh, the bellam konda, was the one who hurt my mother",Negative
482,430 jagan,Negative
483,go lokesh,Negative
484,go lokesh,Negative
485,a hrefhttpswww youtube comwatchvvkgzxzhlukcampt5m43s543a,Neutral
486,drill bolliga,Negative
487,why is the festival coming to you?,Negative
488,those 4 votes will also lose the deposits,Negative
489,pappannam guarantee,Positive
490,jai tdp,Positive
491,comedy show,Positive
492,jaiho lokesh garu jai telugudesam,Positive
493,next cm,Positive
494,,Neutral
495,another deposit is also from govinda,Positive
496,waste of time lokesh anna go to home take rest,Negative
497,next cm jr ntr is complete,Positive
498,jspbjp win pakka,Positive
499,garden,Neutral
500,,Neutral
501,i win,Positive
502,,Neutral
