,Comments,Emotion_predicted
47,rules nandamuri family akhara lucha bada gaon chandrababu's,Positive
48,champion and co. to mark seebum lucha bada kho,Negative
49,ntr knew when photo pandit ji tujhko na party lanjkodka,Positive
50,4 dada mama chandrababu naidu waste fellows and kodaka,Negative
51,dear chandrababu naidu west fellow,Negative
52,jai tdp,Negative
53,i will also do my best for the future of my telugu people for my state telugu desam party will fight for victory,Negative
54,jai tdp jai chandra babu,Negative
55,i'm sharing a 175 pack,Negative
56,jajagan,Negative
57,jai i an,Negative
58,"when these telugu states were so devastated by the flood terror, ntr jolepatti supported the peasantry, introduced the kilo rice scheme and filled the stomachs of the poor. jai ntr jai amaravati jai telugu desam jai sibiyan spread self respect",Negative
59,back pain dramas brothers beware jai shra na tr,Positive
60,"it has been 100 years since ntr was born, how many years have you killed ntr mentally and physically?",Negative
61,bokkalera bolli,Negative
62,your mommy i am her sts chapara your old fox,Negative
63,jai cbn jai tdp,Negative
64,next cm cbn for sure mark my words there is no doubt in that,Negative
65,powerful speech,Negative
66,excellent speech jai tdp,Negative
67,ap needs cbn,Negative
68,you backstab ntr,Negative
69,no just no,Neutral
70,jai t d p,Negative
71,super change we will see,Negative
72,jai tdp,Negative
73,super sir jai tdp,Negative
74,jay saban,Negative
75,jai tdp,Negative
76,0,Neutral
77,tdp tdp tdp tdp tdp tdp tdp tdp tdp tdp,Negative
78,now tt ui i,Negative
79,psycho 420 rowdy a jagan's rule should go,Negative
80,"yes, yes",Negative
81,super sir,Negative
82,jai tdp,Negative
83,jai cbn sir,Negative
84,it's true sir jai tdp leader,Negative
85,next seam cabin?? hit a like for those who think,Negative
86,jai telugu desam,Negative
87,jai telugu desam jai chandrababu naidu jai jai telugu desam,Negative
88,"after killing ntr, they are showing more enthusiasm than others. some movies have been made like this. villain shanyar kalgi kills a citizen on the road and takes a flower garland to his house. are you happy that you killed him so easily?? don't you think our blood breed is different?? is it the meanness of anyone who will do anything for the need without sugary honey??",Negative
89,don't play such flowery words,Negative
90,"when you were in sim, the money came, after jagan came, the schemes came, that's why the state became in debt",Negative
91,ma %35,Neutral
92,speech should be like that super cm sir,Negative
93,her cbnn,Negative
94,don't work bolloda even if you screamed,Negative
95,tdp chala serious ga teesukovali ; mahanadu success ayindi kabatti ; picchi tuglak odipotadani fix avva vaddu;; tuglak annie sarlu modi mundu ongunadu ante enti ardam # assalae aa rendu nijayiti gala party lu (bjp support ycp kada) # evm election lu ? # janam inka tuglak brama lo unnara? # last but not least; tuglak chala nijayiti gala politician kada (elections paradarsakam ga jarugutaya),Negative
96,close the rear guard,Negative
97,"no matter how many pretenses the evil quartet puts on, there are very few who believe it",Negative
98,jaichandrababu jainattar jai telugudesam,Negative
99,champeasadu chinigi poeindhi ycp party jalaga gaadi guddha pagili poindhi cbn gaari speech mamulugaledhu nee paper ki nee channel ki whate dialog cbn sir oocha paadali vaadiki,Negative
100,goose bumps on seebum sir speech after many days i haven't seen this people jai tdp jai cabin,Negative
101,iam sososo happy to see in chandrababu naidu garu chala rojula tharuvatha naavvuthu chusanu okkasari naakosam tdp and cbn gaari fans please like brothers and all,Negative
102,jai balaiya,Negative
103,schemes will win ycp jagan 30-years garantee,Negative
104,jai babu cm babu,Negative
105,just 1 and of years are there to see our legendary leader cbn sir like as of our ap cm,Positive
106,rhuna nafi eachava babu,Negative
107,420 jagan reddy's up was destroyed by the waste seam jagan reddy,Negative
108,<b>jai cbn jai lokesh </b>,Negative
109,most valuable men,Negative
110,jai tdp jai cbn,Negative
111,your time is up in kamanvati,Negative
112,"it's a shame that the cabins are all sold out for andhra people. from the north, you will be in jharkhand.",Negative
113,joy c naidu,Negative
114,jai tdp,Negative
115,jai tadap jai chandra babu garu,Negative
116,pura muesli fox,Negative
117,this is last cbn mahanadu next jr ntr,Negative
118,all tdp pets,Negative
119,jai tdp,Negative
120,jai tdp,Negative
121,<b>jai ntr</b> <b>jai jagan</b> <b>byee bye babu</b>,Negative
122,jagan paytm batch vachaarroyyyyy,Negative
123,the momentum of the speech did not decrease,Negative
124,what a left,Negative
125,jai jagan,Negative
126,"and who said to ntr, nayadu nw?",Negative
127,super sir,Negative
128,sollu sollu,Negative
129,now he is thinking ok and what did he do with the money while he was still alive sir,Negative
130,"you have done it by eating rice to your stomach, you are my son who owes three lakh crores",Positive
131,in the evening,Negative
132,"babu is a nice person, tsup was good when jis babu was there.",Negative
133,shame on you,Negative
134,jai telugu desam,Negative
135,"we need you sir, our whole family is crazy to do tdp",Negative
136,next chusukukundam cbn,Negative
137,2024 cm where is cbn garu,Negative
138,jai jagan anna next cm jagan anna ney,Negative
139,super bro,Negative
140,he will be a true mla,Negative
141,nice speech,Negative
142,shabhash very good,Negative
143,jaitdpjaicbn,Negative
144,cycle powalipillan puk jai jagan,Negative
145,jai tdp,Negative
146,psycho babu chandra babu psycho saikil powala jaganana ravalla,Negative
147,not red pichina kodey,Negative
148,super rama,Negative
149,"okay, let's move aside and support the games",Negative
150,ydp,Negative
151,china pila pooka was also brought down,Negative
152,super speaker,Negative
153,you teach the little children to talk like this malli maa jagananna ne vasatu teach them to talk like this again always ok only jagan‼,Negative
154,happy children's day,Negative
155,"calling the cm by his name without respect, sir",Negative
156,did you sleep when chandrababu became cm?,Negative
157,"your cm does not have a single cent bhomi, loafer, look at my kid's youtube video, copy it, don't talk.",Negative
158,pilla puku gadu,Negative
159,i'm sorry,Negative
160,if you vote for jagan he will become cm and if you vote for seebum then lokesh will become cm and if you vote for pawan kalyan who will become cm?,Positive
161,"child artistes in ycp, nagarjuna yadav in tdp",Negative
162,vedu will survive after the next election,Negative
163,"they said what do they do to the people, the unity of crows, where is the key of your rare peacock, come, all the colors of the peacock, the colors of this chandrababu cannot be told.",Negative
164,jagan said that it will be difficult for him to win the mml seat,Negative
165,they are getting jobs,Negative
166,"education for all, freedom for all",Negative
167,he developed mochem it in hyderabad. who is killing the castes in the villages?,Negative
168,psychos are not everywhere,Negative
169,are you safe?,Negative
170,muskora is hiring jobs for all the unemployed,Negative
171,remove the regervation before herwerk they become unemployed,Negative
172,pora pilla pu,Negative
173,"hey, you're an adult or a child, i still don't understand",Negative
174,the telugu dasam party handed over the map of pedda peeta school to the community b,Positive
175,exceptional speech thought provoking god may pour more showers on this guy who is giving a thought to our mind,Positive
176,happy children's day,Negative
177,ravali jagan kavali jagan,Negative
178,who is this cat?,Negative
179,jai jagan,Negative
180,corroded,Negative
181,well done brother,Negative
182,what is your fate that brought you a child artist,Negative
183,"when you are in power, you don't do anything, and when you don't, you throw mud on your neighbors",Negative
184,salute to your tdp because you are showing caste sentiments i will vote ysp till death jai jagan,Negative
185,super,Negative
186,nice acting oscar award winner,Negative
187,excellent speech dharshit garu jai tdp jai cbn sir garu great leader most talented leader cbn sir garu god bless you,Negative
188,far better than lokesh,Negative
189,excellent speech,Negative
190,"if all politics are left aside, there is confidence and energy, i sincerely wish that good will happen to some people.",Negative
191,nice to see this youngster speaking so confidently with so many big people around wish him a great career ahead,Negative
192,super speech,Negative
193,edu ewadu is doing over acting child artist ha,Negative
194,jai telugu desam jai jai telugu desam,Negative
195,super speech bro,Negative
196,what is this pila hook?,Negative
197,jai tdp jai cbn sir,Negative
198,jai jagan 2024 malli jagan jai jagan,Negative
199,did you wear jai ditap jai?,Negative
200,nope,Negative
201,"he found a new pulka, but everyone did not mind",Negative
202,jai jai telugudesam jai amaravathi,Negative
203,not maha nadu but maya nadu,Negative
204,badki pora,Negative
205,jai telugu desam,Negative
206,super,Negative
207,super bro,Negative
208,jai tdp,Negative
209,"your little one is well developed, isn't he rich in money? tell me, why did you learn it? it's not a matter of morals, but you should also follow it.",Negative
210,t d p r b dog s k lm,Negative
211,you are the future chief minister,Negative
212,cm nmr,Negative
213,super anna,Negative
214,"it is not enough if speech is super good, even self-governance should be super good.",Negative
215,what a voice,Negative
216,jai tdp,Negative
217,one of the right person at present situation ap,Negative
218,"if you have done it, ichapuram ki ha kedenu patient will never be cured.",Positive
219,jai tdp,Negative
220,ram mohan naidu's speech is super,Negative
221,simham school,Negative
222,jai rammohannaidu,Negative
223,well are missing the dialogue mr modi @ parliament,Negative
224,chandrababu kadu bandar babu,Negative
225,radha should have been in ycp,Negative
226,jai tdp,Negative
227,comedy lokesh,Negative
228,whatever lokesh anna,Negative
229,jai lokesh babu jai vangavity radha garu,Negative
230,ranga kapu's skirt is short,Negative
231,either tdp or radha anna,Negative
232,why kesineni nani is not participating in vijayawada yuva galam,Negative
233,jai lokesh garu jai tadap,Negative
234,radha reducing the value of ranga-------,Negative
235,the man gave 200,Negative
236,let tdp jajah basi let kwan zindabad nar lokesh anna zindabad bangabhiti radha anna,Positive
237,"radha has done bad things to the bjp, but he has done a crazy job",Negative
238,nv mmelye mndi ra ni batuku,Negative
239,jai jagan,Negative
240,super,Negative
241,"if you turn up, your eyes will hurt",Negative
242,cnb tdp usa ok,Negative
243,tdp ntr,Negative
244,ori eeedi yanasalooo,Negative
245,busko busko,Negative
246,you have a great subject so there are around 50 advisors looking for it,Negative
247,"nara, are you a ghori kattu to jagan?",Negative
248,video joker,Negative
249,you will go first,Negative
250,were is the special status,Negative
251,"he is someone but he fits jagan's brand, he is crazy",Negative
252,orey bafoon,Negative
253,"amma avva, if i feed you, i will take care of you",Negative
254,it is a fashion show of your wedding dresses,Negative
255,"what do you know, send your marriage away",Negative
256,"orey kozza vedtava ramani told the people, your leader",Negative
257,"if anyone is anna in your house, ramanu maa lokesh anna to ki",Negative
258,your comment not right,Negative
259,"if this vedawala goes back to the crowd, they say karnataka, they don't even know their constituencies, if they go to school, it's a batch of rowdy politics.",Negative
260,ar na kodakallara do you have it in lauda 2024 hero jagan west pooku gadu,Positive
261,good suuuuuuuupr who cares,Negative
262,"if you do ekkafa, why are you a young boy (if you know the meaning, you will be mocked)",Negative
263,in front of you is the mussel fruit,Negative
264,there are villages related to karnataka bhader kuda mana ap ki ani kuda telidu veedu mantri,Negative
265,vari uch*** tagu ra maddasudhan you will never go assembly again,Positive
266,he made the state indebted,Negative
267,saiko povali cycle lavali,Negative
268,jai tdp,Negative
269,hey everra you are everything,Negative
270,soak in good leakage,Negative
271,"stand up and say what you want to say, no overaction",Negative
272,"do you know that laja can't be ashamed, you come",Negative
273,comedian on of assembly no doubt no problems nuvvu pedda jaffa,Negative
274,"we will check whether you are doing human sacrifice, leave me, bii reddy",Negative
275,we have fans in karnataka too ra but ur pace is super,Negative
276,ray pentapu madhu,Negative
277,ji t d p,Negative
278,"corona has increased in srikalahasti, crazy lanjodika",Negative
279,ysr dd,Negative
280,go and say it on sakshi channel,Negative
281,elathi video vasta la nakodaka,Negative
282,chaptookdatha,Negative
283,meru may sakshi tiv chiller lanjakodaka,Negative
284,ycp ante nee psycho party,Negative
285,smile,Negative
286,"those who die before they die will talk about something, so even if you look at your situation, you will feel the same. after a few days, your mouth will be silent without you knowing it.",Negative
287,correct lokesh doesn't know what because he doesn't know the subject of chicken katthi babai doesn't know the subject of bhutu like you doesn't know the words that's why everyone likes lokesh that's why lokesh is a real hero,Negative
288,"he copied padayatra, he can't walk, they are giving yamihamis to the people, poppu gadu",Positive
289,"do you know that there is karnataka border near kuppam, if you take 10 steps there, it is karnataka, then you will become a karnataka.",Negative
290,super sir,Negative
291,job calendar that is ra pulka,Negative
292,lokesh pada yatra may be funny to you but the people of the state are watching everything sir yes lokesh is real hero,Negative
293,waste minister,Negative
294,"hey, don't be shy, come on, you are talking all over the air",Negative
295,jai busco busco anna,Negative
296,"if you lose, you will lose your snail legs",Negative
297,"if you are, you will not be able to eat",Negative
298,you have taken a break and do you have the subject matter,Negative
299,madhu sudhan reddy is pulka,Negative
300,jai tdp,Negative
301,jaganmohan reddy said to you that you should not do padayatra prajasankalpayatra if you are challenging your jaganmohan reddy. come babu,Positive
302,"point talk chesaru sir <a href=""https://www youtube com/watch?v=q5crea05ex4&t=0m34s"">0:34</a>",Negative
303,king of great show,Negative
304,jai jagan mohan reddy,Negative
305,you know stupid,Negative
306,kovid joker is making poker jokes,Negative
307,"come on nayana, not a bulldozer",Negative
308,"babu, why did you get the subject, babu?",Negative
309,"if you do it anywhere in the country, you have no right, pura koya, you are a rowdy kingdom",Negative
310,ra jagan raised my level,Negative
311,re nakodaka rice madhu sudha,Negative
312,public army,Negative
313,ayey rey ​​pukka neeku née pukka ki putav ra,Negative
314,super,Negative
315,you have a good life by participating in jabardast,Negative
316,"when you see brother lokesh, you remember relangi in mayabazar, don't you brothers?",Negative
317,jai sri kalahastiswara save us,Negative
318,jai babu jai tdp,Negative
319,muyu ra puva,Negative
320,what are you still missing?,Negative
321,it's time 420ha,Negative
322,"oh, talk about your rule, about raja babai case, why did sharmila's sister go to telangana, why did the rates go up?",Negative
323,jail jagan,Negative
324,tdp national party ra,Negative
325,ore madhusudhan hundred jagaratta,Negative
326,yugalam that is lokesh,Negative
327,jai tdp,Negative
328,my sons and others,Negative
329,jai babumohan,Negative
330,border ra verri vp,Negative
331,vadi modda money,Negative
332,cm lokesh,Negative
333,our chittoor dish lokesh is in karnataka border sammi is not in karnataka.,Negative
334,em chesadu 420 avvva avvammallara ani acchi vachina ambothulu votes adugutam tappa pention penchuta annadu echadu 2250 ivvataniki 2 3 years pattindhi vadu netyaavasara sarukulu current bill gyas itlanti penchakunta stiram ga pettamanu aa 420 cm ni … jai jr ntr,Negative
335,sir maa lokesh stand furd university study sir,Negative
336,that is why he is called suddha baddhai pappu gadu,Negative
337,tell branda sakshi,Negative
338,neyamma peethim is a witness to the murder of dogs,Negative
339,tdp-ycp bhai bhai 60-40 agreement on corruption issues,Negative
340,only pawan kalyan gaaru and janasena can bring back golden days for ap…jai janasena,Negative
341,whatever is known,Negative
342,biyapu niku undi ra oray kanagara padaku ra babu hero me anna jailo chipa kuda kna ye sari wt 2024varuku k hero kadu andaru zero lu avuduru gani k jai tdp jai cbn sir jai nara lokesh sir,Negative
343,o ray i have that much madhu sudana,Negative
344,"even if you don't know what you are super, you have done it",Negative
345,joker is doing comedy,Negative
346,"correct, anna jagan continued his march in kanur even though bees were swarming.",Negative
347,"sir, if you talk about pappu, you will get a lot of laughs, sir",Negative
348,petrol diesel rate is rs,Negative
349,pora comedian,Negative
350,ni biyam comedy super,Negative
351,tell me the spelling of the subject sir,Negative
352,waiting for me will support you ok ok na po ra,Negative
353,first you are madhusudan,Negative
354,no batuka here,Negative
355,rip sakshi,Negative
356,the day to harvest rice is near,Negative
357,search rip,Negative
358,jokar,Negative
359,ludekbal killed his own father,Negative
360,life time settlement raaaa,Negative
361,jagan is a real hero,Negative
362,hahahah,Negative
363,he will contest in karnataka also,Negative
364,"ycp joker, you are the son of gajji",Negative
365,"if you understand all these idiots who vote, these are political schemes, why do people like this come into politics? as long as there is caste-religion politics, your lives will not be forgotten",Negative
366,420 jagga,Negative
367,next tdp 2024 lo,Negative
368,who selected the original pappu for the padayatra?,Negative
369,srikalahasti comedian,Negative
370,"all of them talked about one issue of the state more than the other, idle souls chattering for hours.",Positive
371,jagan is always hero(67--151),Negative
372,rip k sakshi,Negative
373,vedela mla ayadura babu waste fellow pachiloffar inside the house,Positive
374,say it correctly jagannanna ice great leader bees jagannanna lion,Negative
375,the entrance to the field,Negative
376,all this minus k,Negative
377,jai jagan anna,Negative
378,andhra nunchi karnataka vellali ante chala dooram untadi no chance tamil nadu velladu anna kuda oka lekka untadi meeru mee news lu development undadu andhra lo entha sepu vadi meeda veedu edavadam veedi meeda vadu edavatam ila unte development eppudu ayyedi ma karma kakapote ap lo puttam maro bihar avutundi ilane unte ikkada nenu lokesh ki support ga matladatam ledu ee news chittoor dist lo padayatra chese samayam lo viral ayindi nadi chittoor eh chittoor ki karnataka boarder ki chala dooram untadi,Positive
379,"if you go to the next state, you will understand how they are robbing and eating petrol liquor sand. how is your press meet?",Negative
380,jagan kana better in me,Negative
381,where did poyyada beat the bees and how many did he beat?,Negative
382,ray pichoda should go to satyavedu and also visit uthukottai town (tamil nadu)...,Negative
383,jai biyapu madhusudan reddy,Negative
384,nu wadi di siku nui hero antayu,Negative
385,super anna,Negative
386,anna comedy veere level,Negative
387,moddu sudana mdi ra ni bhasha 10th fail nuo mmele medo y cheap party tuglak cm,Negative
388,"well said sir, you jagan",Negative
389,anna nee smaial ki,Negative
390,oreyy kojja channel bengalore lo vote vestunnaru several ra badukoo karnataka ap border ra akkada kuda votulu vuntayyi ra nayaanna nuvv empolitician a channel self dabba okadi ki sariga mataldatam radhu prajalu samashaylu thellus kondi anteyy pakka vadi pi na yedustharu enti ra badukoo channel,Negative
391,you are a big waste fellow,Negative
392,mana ap cm gaarini cm gaaru ani pilavandi sir please meeru anil sir kodali nani sir inka chala mandi japan mohan reddy ani pilistunnaru invluding mana roja madam idhi mana cm paristhithi ayana ap cm,Negative
393,super,Negative
394,this is a real loafer of a man,Negative
395,comedy piece biyyapu tu,Negative
396,evardra nu mulla pig la vunnav,Negative
397,rip sakshi rip 420 batch you are your words,Negative
398,"the challenge is ga's brother, mari bhayama",Negative
399,it's not like acting,Negative
400,"if lokesh leaves, pakistan will leave",Negative
401,420 ycpee,Negative
402,jagan says mega disc is not yet jagan is waste for teacher's recruitment,Negative
403,ok sir you know everything,Negative
404,papu,Negative
405,isn't this what stand-up comedy does in an assembly?,Negative
406,26 cups of 100,Negative
407,jai jagan's super catch is rice,Negative
408,why are you taking it now?,Negative
409,orei are you a man?,Negative
410,ripsakshi,Negative
411,"hey, it's not karnataka, but it's on the border, it's a telugu state, the people who speak there, the slang is the same, mind it.",Positive
412,swami lokesh vella it companies are located in hyderabad,Negative
413,madaga night,Negative
414,how much money did they give you?,Negative
415,sha ski is,Negative
416,jai jai chandrababu naidu great pawan kalyan jai jai close your eyes or shut your mouth that's what the media means to you at home.,Negative
417,everybody knows pappu gadu,Negative
418,no ladlo yasar,Negative
419,go satire on your family members how many people do dobbesav raku your time is near,Negative
420,"why are you my son, you are like a big comedy actor, come on my son",Negative
421,meerem chesaru chepandi siruuu bayapadi police ni pampi adukontunaru nuvu oka mla na nuvu ne slang manam correct ga vundi okarini velethi choopali nuvu nerchuko mundu mataladam,Negative
422,dirty ycp batch talking all false propaganda police misusing powers by creating troubles to lokesh padayatra jagan should be ashamed to be cm for his undemocratic actions on opponents,Negative
423,"do you also want to fight with mohan reddy, the pig?",Negative
424,yas,Negative
425,lokesh a pokesha,Negative
426,super ts,Negative
427,pig papu yatra,Negative
428,"if he wants to, he will walk on mars too, the donkey",Negative
429,super super super,Negative
430,jai tdp,Negative
431,jai tdp jai lokesh who how many anna ap next cm cbn,Negative
432,what is your promise to srikalahasti temple?,Negative
433,benami niyu jai janasena for rice,Negative
434,super anna,Negative
435,þ⁵,Neutral
436,esari's win,Negative
437,lokesh pappu,Negative
438,super speaking skills,Negative
439,free schemes and pastor salaries entira lucha,Negative
440,bhootula's party vice-rcp,Negative
441,thuglaq reddy down 3 capital's entire fight,Negative
442,pappukesh gadu,Negative
443,you pan world hero,Negative
444,lokesh padayathra is true aithe first manifasto relese chesi for all people cheppali kani tdp they are cheppaledu so next cm jagan mohan reddy gare2024 lo cm avutharu,Negative
445,he is like a hedgehog. how are the roads of polavaram?,Negative
446,"anna, you will take away his air",Negative
447,super sir excellent speech,Negative
448,nice talking,Negative
449,ycp420 reddy,Negative
450,ycp420 reddy,Negative
451,ycp420,Negative
452,ycp420,Negative
453,super said sir,Negative
454,time on the yatra,Negative
455,super sir,Negative
456,arey pappu ga nv india will return pakistan bangladesh china will also go,Negative
457,"babu lokesh, don't you know how far andhra is?",Negative
458,he doesn't know fafam,Negative
459,it is as if you have told the truth about the ycp party.,Negative
460,ppi gado ballon button,Negative
461,jai tantra jai ​​saban,Negative
462,jai jagan,Negative
463,correct,Negative
464,anna super,Negative
465,let's wake up annay zohar isr,Negative
466,pakistan kuda wathadu next pakistan cum lokesh babu,Negative
467,anna super,Negative
468,super super sir,Negative
469,what have you done to the state?,Negative
470,nys comedy sir,Negative
471,playing channel,Negative
472,mee shame has given assurances but where is the polavaram special status pension 3000?,Positive
473,mea jagananna ke chopper chopper chave,Negative
474,no one can beat lokesh in this single task!!!! he can do what ten people can do alone!!!!!,Positive
475,pullakase lokesh,Negative
476,super,Negative
477,jai jagan cum garu,Negative
478,pora pulkaaaaa,Negative
479,madhusudan reddy you can't win as next ms,Negative
480,"he should be added to the red soil, he is a moor, don't leave it alone",Negative
481,you didn't hear what i said above,Negative
482,youtube channel mics there is no news channel mic that works except sakshi mic.,Positive
483,pappu padayatra after sun days patient yatra if you eat half if your grandpa rides a cycle by yoga if you eat jagan will you be great kaligotikirao,Negative
484,wow,Negative
485,how can you be such a mindless mla? ap has borders with karnataka and tamil nadu ambothu reddy,Positive
486,anna lokesh doesn't know who is there telugu people but karnatic people or tamil people and pappu gadhi doesn't know.,Positive
487,acham is like a hedgehog,Negative
488,pig likes mud and point kalyan likes jaggery,Negative
489,busko busko busko,Negative
490,jai rice rice,Negative
491,tremendous comedy star l unnav nav mala l lev,Negative
492,"if not in karnataka, he will do it in canada too, it is an international party",Negative
493,next jagan go all ycp go,Negative
494,you gowda please ka roda,Negative
495,hahahahaha,Negative
496,"sir may's speech is understandable to all, sir",Negative
497,orei is half comedy actor,Negative
498,thingarodi knows no boundaries and this is the future c m anta auteen raja gadu,Positive
499,ycp will paint them,Negative
500,"anna, if you pay tuition to that pappu mine, because of that person, telugu kunna will get greatness",Negative
501,"ray, your mother is madhusudhana bosidke",Negative
502,"he went to sprinkle rice, what is your problem, pakistan?",Negative
503,jai jagan,Negative
504,let's see when you win,Negative
505,"anna, papu gutti gadiki papunna, your video",Negative
506,vadu waste jhantekaball,Negative
507,lokesh 420,Negative
508,correct,Negative
509,"in the coming days, delhi will also come",Negative
510,jokesh badha yatra,Negative
511,"jagan has made you a sheep and he has not come yet, hold the book, come back, come back, tell me that too, tell me, jagan's administration does not know, see it first.",Negative
512,chill and cook,Negative
513,jai jagan,Negative
514,"ore nuvvu nayakudivaa junior artistivaaa em matalu ra avi until now they have been talking about the opposition with a lot of respect, there should not be any opposition at all, they are talking as if you should rule from the top, what did jagan say that he will give you money for everything in the padayatra, he hit on the people's weakness, nothing else happened except taking loans and spending money. tell me, what has happened in ap, if it is not mad pooka lokesh, then there is someone else, why are you talking about those words to find the cultist behind you?",Negative
515,why do you want to go hiking?,Negative
516,"if it doesn't matter, even in punjab, even if tdp wins, our world will burn.",Negative
517,expression super,Negative
518,super anna,Negative
519,jai anji reddy,Negative
520,jai tdp,Negative
521,k illarihriababu nbc jtdp,Negative
522,hmm,Negative
523,no,Neutral
524,jai tdp,Negative
525,you are the tiger,Negative
526,jai chandrababu jai tadap,Negative
527,ng joke,Negative
528,ntr housing pinning bills,Negative
529,ntr housing pinning bills,Negative
530,"if you eat rice for your stomach, you should be ashamed of your birth to support tdp.",Negative
531,"really, chandrababu will give the best and develop our hyderabad, but chandrababu has developed it.",Negative
532,neyamaa pukuraaa,Negative
533,that's how much tatha gave you,Negative
534,ask your mind what we have done to the people except because everyone is fighting for the seat of cm,Positive
535,cm seat ante intha picha mari,Negative
536,jai tantra,Negative
537,super tata,Negative
538,welcome tdp all will be well,Negative
539,super ana,Negative
540,it's greats,Negative
541,it is a waste of effort to talk about useless politics,Negative
542,jai jagan,Negative
543,tdp karikaram or thighs kotak karkaram doubt ? there is,Negative
544,jai tdp jai cbn,Negative
545,jai anni reddy,Negative
546,""" your's commitment is admirable at 80 aged""",Negative
547,be careful the old man will kill you,Negative
548,2024 jai tdp,Negative
549,one should follow ethical values when addressing the publick mr young leader you have got right to express your own opinion but in a dignified manner kindly do not use abusive language in public,Negative
550,correctly said anna,Negative
551,the joke is good,Negative
552,"this stream is still a child's philosophy, there is no heat, there is no sound, there is no sound in the ear.",Negative
553,"you can't see m peekaleru pooka first, babu is in jail, look at that",Negative
554,orey where do you run away to singapore lead you stop a bit,Negative
555,lokesh suwar - jai jagan (official music video) lokesh suwar - jai jagan (official music video),Negative
556,veedi janma drought blood reddy or kamma mee papam pandindi vangaveeti ranga ntr pingali red sandle cooles godavari pukaralu killings bashir bag killings wreck 55 state corps including chittor dairy biggest in indian till u cm,Negative
557,you are the words of your life,Negative
558,por kukaaa lokesh,Negative
559,pilla bachavi ra you don't care,Negative
560,who is watching after cbn arrested?,Negative
561,battalippi holding a cheekutawa,Negative
562,jai tdp,Negative
563,look at the chepay,Negative
564,jai jagan,Negative
565,hahaha what a government position future,Negative
566,gudivada gunda lorry cleaner gudivada nani buthulu tappa nani emi matladadu meee anna jagan jailu ku velthaaadu nuvvu lorry cleaner ga chesuko buthulu rajakeeyam chesaru ysrcp time daggara padindi,Negative
567,nee kastam pappesh babu shouldn't even get angry,Negative
568,comedy suppur,Negative
